Fold,Method,Alpha,Budget,Delta,Married,Single,Age_lt_25,Age_in_25_to_40,Age_in_40_to_59,Age_geq_60,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue
1,Baseline,0.0,0.3,1.0,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,Baseline (OAF),0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
1,RACT,0.0,0.3,0.2,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.0,0.3,0.25,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.0,0.3,0.3,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.0,0.3,0.35,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.0,0.3,0.4,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.025,0.3,0.2,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111
1,RACT,0.025,0.3,0.25,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111
1,RACT,0.025,0.3,0.3,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111
1,RACT,0.025,0.3,0.35,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111
1,RACT,0.025,0.3,0.4,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111
1,RACT,0.05,0.3,0.2,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182
1,RACT,0.05,0.3,0.25,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182
1,RACT,0.05,0.3,0.3,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182
1,RACT,0.05,0.3,0.35,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182
1,RACT,0.05,0.3,0.4,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182
1,RACT,0.075,0.3,0.2,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.2765957446808511,0.1702127659574468,0.02127659574468085,0.02127659574468085,0.0,0.1276595744680851,0.10638297872340426,0.02127659574468085,0.06382978723404255
1,RACT,0.075,0.3,0.25,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.2765957446808511,0.1702127659574468,0.02127659574468085,0.02127659574468085,0.0,0.1276595744680851,0.10638297872340426,0.02127659574468085,0.06382978723404255
