Fold,Method,Alpha,Budget,Delta,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native American,race:Other,c_charge_degree:F,c_charge_degree:M,gender
1,Baseline,0.0,0.3,1.0,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,Baseline (OAF),0.0,0.3,1.0,0.45454545454545453,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
1,RACT,0.0,0.3,0.2,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.0,0.3,0.25,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.0,0.3,0.3,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.0,0.3,0.35,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.0,0.3,0.4,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.025,0.3,0.2,0.35714285714285715,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
1,RACT,0.025,0.3,0.25,0.35714285714285715,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
1,RACT,0.025,0.3,0.3,0.35714285714285715,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
1,RACT,0.025,0.3,0.35,0.35714285714285715,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
1,RACT,0.025,0.3,0.4,0.35714285714285715,0.07142857142857142,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
1,RACT,0.05,0.3,0.2,0.3333333333333333,0.06666666666666667,0.0,0.2,0.2,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
1,RACT,0.05,0.3,0.25,0.3333333333333333,0.06666666666666667,0.0,0.2,0.2,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
1,RACT,0.05,0.3,0.3,0.3333333333333333,0.06666666666666667,0.0,0.2,0.2,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
1,RACT,0.05,0.3,0.35,0.3333333333333333,0.06666666666666667,0.0,0.2,0.2,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
1,RACT,0.05,0.3,0.4,0.3333333333333333,0.06666666666666667,0.0,0.2,0.2,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
1,RACT,0.075,0.3,0.2,0.2727272727272727,0.0,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
1,RACT,0.075,0.3,0.25,0.2727272727272727,0.0,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
1,RACT,0.075,0.3,0.3,0.2727272727272727,0.0,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
1,RACT,0.075,0.3,0.35,0.2727272727272727,0.0,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
1,RACT,0.075,0.3,0.4,0.2727272727272727,0.0,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
1,RACT,0.1,0.3,0.2,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.038461538461538464
1,RACT,0.1,0.3,0.25,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.23076923076923078,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.07692307692307693,0.0,0.0,0.038461538461538464
