Fold,Method,Alpha,Budget,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1,Baseline,0.0,0.3,0.08870835351311268,0.09156770566471038,0.07031790097804572,0.08165547537982039,0.07161708123174058,0.03107611540392893,0.025583033250027542,0.04296676764997235,0.04497674538253144,0.023411045765117888,0.017815842656954902,0.05693322935380335,0.02880988220434519,0.050503230010787964,0.03439809835958489,0.025350249762913196,0.01970331614793616,0.04800197592154849,0.030854833359500435,0.031769299324712896,0.025349596406466165,0.018016096057526635,0.040614126214911714
1,Baseline (OAF),0.0,0.3,0.0,0.0,0.0,0.0,0.11746877393010326,0.0,0.0,0.07638194058583611,0.08982204098583647,0.05394961509677751,0.04766853207741791,0.0,0.0,0.10070345147401977,0.0640219043401176,0.0525991065443723,0.040065443008402625,0.08675189051369596,0.06128656428243434,0.05848524266221213,0.04698701951199557,0.032153134536699504,0.07165534045007883
1,RACT,0.2,0.3,0.0745330479186333,0.07204979826929907,0.057680318143420325,0.06434471999332399,0.07450088535910007,0.03180764733650889,0.024500715139487258,0.050515469388786954,0.04836217212863496,0.025093713199777462,0.020008105082224326,0.04369481367975849,0.027941188968824176,0.05937454244897417,0.028531198518253257,0.030345554134147874,0.024835798280363554,0.059592809717177335,0.0381981099842102,0.038528112885811386,0.031653087541712005,0.024426760741356267,0.04948143114021483
1,RACT,0.4,0.3,0.07512396909406306,0.07654600012465777,0.058502823151556575,0.06836355528748354,0.07129497616551683,0.03240528369674423,0.022854910172988033,0.051156515729936534,0.05293724148672056,0.024749425955924137,0.022118347903300282,0.04420601067208029,0.028213006674410686,0.05861403025008354,0.029777993027451943,0.026713027439006727,0.022953656612555478,0.06144627051351412,0.038269219497939135,0.03652307329547554,0.028551259289412333,0.022403239649516463,0.046276164309662325
1,RACT,0.6,0.3,0.07592652778852861,0.07547404692872735,0.060209415951682346,0.0664058607019037,0.07221614182082547,0.03226148906524474,0.02586079313783476,0.05044173090977774,0.0508037695690567,0.02502261886929546,0.022550154269284695,0.04243165034128657,0.026649578806512735,0.060361508670347445,0.030334938114588154,0.027183881146836553,0.021926299605320967,0.05951592802158527,0.039016556405385205,0.037890201223476215,0.02914516483409878,0.02215708030085407,0.046214663517546155
1,RACT,0.8,0.3,0.07595184424588028,0.07785720805499194,0.05826080409135986,0.06512436018597222,0.07237337361207462,0.03336560016070804,0.02359834738406859,0.051339065504837154,0.05229637304632405,0.02505946087486571,0.021617106910745452,0.04355071355223432,0.025554144966379647,0.05961138681291019,0.030532504589217958,0.02583361827038422,0.022264180039737184,0.059654616601718134,0.038404242606193406,0.037551991878223626,0.02884536134594478,0.02263375016257165,0.048719945102656974
1,RACT,1.0,0.3,0.07501944666539537,0.0777504822159294,0.05994543849302523,0.06196079831479133,0.07320935640998179,0.031440291647626274,0.024048687446108632,0.05249313129550638,0.05410844132097366,0.028121892118410298,0.021909960097754064,0.04363437066860316,0.023042197694027055,0.057538908231488946,0.030916352708553453,0.028213590012179896,0.02124216308882497,0.05973292482936289,0.03954357360433278,0.03807431167050267,0.02796326672964964,0.02164874552134275,0.04844166921562934
2,Baseline,0.0,0.3,0.09175386350317742,0.0902737553345011,0.07074405349733073,0.08402351431694788,0.06895620815347935,0.032525381868466235,0.025597571001433245,0.043301593821887925,0.04510197693636389,0.02282303443813023,0.016023077835628893,0.05327619562227759,0.030001312629931127,0.05269730741528314,0.03436524230023807,0.02410758044801306,0.019802145045393144,0.04798122389952138,0.031472161990377195,0.027996371983918304,0.02763441523024425,0.017742759382813323,0.04179925334464239
2,Baseline (OAF),0.0,0.3,0.0,0.0,0.0,0.0,0.11833045857117878,0.0,0.0,0.07758722185625314,0.08977036188834495,0.05687802978171681,0.04673045554526345,0.0,0.0,0.09936537481129816,0.06935875837942702,0.053416624538000924,0.041615866849192225,0.08922065088504984,0.05770664594747711,0.0566536011298181,0.0444939230783536,0.028421402061697104,0.07045062467692909
2,RACT,0.2,0.3,0.07373305205340193,0.07323361214230212,0.05704125628161335,0.06834274984460473,0.07175404668878743,0.030242573677185254,0.023000692454217292,0.050046611208241915,0.04731664903167962,0.024010906466348184,0.02075090440198588,0.042509527654880634,0.02746606575862763,0.05974402524901665,0.03237062903567291,0.03127079477120077,0.02528474582486952,0.06375148527304107,0.04014200131548996,0.03852549202074358,0.029837197083259395,0.021986566487294745,0.04763841527553559
