Fold,Method,Alpha,Budget,Married,Single,Age_lt_25,Age_in_25_to_40,Age_in_40_to_59,Age_geq_60,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue
1,Baseline,0.0,0.3,0.06490742830916356,0.05255716317172535,0.04119530329629458,0.05107965393203153,0.043539119838906085,0.021732749925525666,0.04097134429833393,0.14278341924042634,0.1252725468712097,0.045182241931148684,0.028793321378253852,0.03146545768164379,0.10679028473682636,0.07498823528871554,0.026800711097978807,0.10194101900181625
1,Baseline (OAF),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.15956908032597933,0.22870065940737114,0.1630892048014171,0.09751532361130245,0.07847213197664184,0.07056121955268999,0.1542122563213028,0.04788012400329539,0.0,0.0
1,RACT,0.2,0.3,0.07246427764374236,0.06388891311722028,0.0415884516529169,0.05040534511855656,0.042651769892830024,0.021648132170815154,0.03733374720640804,0.15020623987879433,0.12190055600345091,0.02654716895691204,0.016395209024047893,0.03277706061230271,0.12190108238724451,0.0703309569101111,0.024838924692830153,0.10512216473181696
1,RACT,0.4,0.3,0.0937160937213433,0.06463112500973392,0.048128822529718965,0.05473331354425348,0.03844706569269724,0.02484356685206806,0.039585153960427,0.14068916683389907,0.11989738307869065,0.023528634225139313,0.013103672565352286,0.03858415786952698,0.11981603520547913,0.06189294687162977,0.023342801588140057,0.09506006045190062
1,RACT,0.6,0.3,0.10929794478485128,0.08202944323505577,0.062349042126035946,0.06519626798347077,0.04198203953861166,0.02719731823880263,0.03329430330603248,0.1341782501132605,0.08781087005682105,0.023337971212736796,0.013006526704941705,0.03419561723993034,0.10138098153284947,0.04919303435080442,0.02210092527030907,0.11344946430548615
1,RACT,0.8,0.3,0.1381875095993047,0.09061966443183025,0.06830330288538025,0.06323799786042458,0.04793823801226341,0.03925583322394453,0.035656918962134965,0.11694136456178009,0.08353793143811318,0.022268474896206942,0.00925734016354723,0.031779546004220165,0.08969092132029156,0.049614377454792524,0.022663871820294727,0.09104670736547076
1,RACT,1.0,0.3,0.12349593222001383,0.0991732427813347,0.07040632887045992,0.07738714866497208,0.053233764367431186,0.026663597329981623,0.0432951349148865,0.14397276815181062,0.08623097084290152,0.032413007659451674,0.016821482700944558,0.027166279880916414,0.10021111513344351,0.04157614325507868,0.018763546618427794,0.03918953660794541
2,Baseline,0.0,0.3,0.08221270110436203,0.056824256859374735,0.03858365821161663,0.05254372203510713,0.044874585965921636,0.019710526512164293,0.039632826696527616,0.13642957428863509,0.12704294553801565,0.048235892449316524,0.029453973891919893,0.030317495260577726,0.09544395767262005,0.07535023536284143,0.02537495059796957,0.09796869755303003
2,Baseline (OAF),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.16405903367867003,0.2560246194483711,0.15647840598881968,0.10448559598733963,0.06989564348100835,0.06515320249306049,0.12771456116728563,0.05618893775544505,0.0,0.0
2,RACT,0.2,0.3,0.08197800997978731,0.064000344317343,0.04639083263328486,0.04094130557224634,0.039180122033059185,0.01852202140924107,0.04053995975955627,0.14227256775210712,0.12874583065960699,0.032120189228578025,0.016320434946162525,0.03008407067743773,0.12432131752304,0.07327851685761615,0.02264789874063018,0.09865657791030334
2,RACT,0.4,0.3,0.08226432973955979,0.07160310951101753,0.05171212814876525,0.049407653942764716,0.03785638374143215,0.025298581955304694,0.03773606886294293,0.14578595939020836,0.11359327816062753,0.029594225191652015,0.013752117404961576,0.03265045362072229,0.11345291138641019,0.07139332709660488,0.020820246331107253,0.10307922551591897
2,RACT,0.6,0.3,0.09914908314886815,0.08617408188788307,0.07715222661579128,0.05153614221375303,0.05222114906786445,0.028313382642379058,0.03253511997753461,0.13095931403863886,0.08832761562189881,0.019569610336105745,0.015342845335910075,0.029654047548521082,0.10952605337753324,0.05692912712468023,0.019173976490635663,0.10343622457200265
2,RACT,0.8,0.3,0.10573158262025464,0.11205270882385261,0.06740654009289779,0.05811117234229392,0.06188402683245021,0.04183502398127697,0.03392028304749879,0.12713966507539382,0.08652954565569321,0.02403114107790054,0.015864564640828374,0.03247677703779163,0.09540930863571785,0.04606511066029192,0.025716129409010302,0.06582642006684734
2,RACT,1.0,0.3,0.1463879123178699,0.11566570893697616,0.08289668170846534,0.07742268701705585,0.053813426870355015,0.029197212617313496,0.04037541672209076,0.1286219935731745,0.0828339363399275,0.025091378313409053,0.014024925005341195,0.02644698654621631,0.08152630447469232,0.04290543666358202,0.019159573798914812,0.03363041909461571
3,Baseline,0.0,0.3,0.06273938910420444,0.05262637376214988,0.03987435150233662,0.04890099705574229,0.03969200333895653,0.02005693558727713,0.04026338394917238,0.1532382355096627,0.1301991026280264,0.04748483919570043,0.028365195618858197,0.032194039539407436,0.10621582615685701,0.07486425003209651,0.024485343642270917,0.09879973337728118
3,Baseline (OAF),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1632928349742302,0.22456232218476235,0.15813700180791712,0.09855446692720474,0.0711999737668869,0.07568490552846362,0.1414266318015434,0.06714186300899176,0.0,0.0
3,RACT,0.2,0.3,0.07711781985791852,0.05500163964315066,0.046782825959642615,0.0457486986690554,0.03880048496115522,0.022452082885226356,0.03128051586092028,0.15161014951515062,0.11685530071754403,0.02986016076982256,0.015964913265602624,0.04076519604591434,0.12612067311315994,0.0715893198923187,0.023787786866947516,0.10626243197647074
