Fold,Method,Alpha,Budget,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native American,race:Other,c_charge_degree:F,c_charge_degree:M,gender
2,RACT,0.04,0.3,0.1842411422620671,0.09933015911219921,0.1131235455692609,0.13304434689086553,0.16820337282781975,0.06224266631604819,0.0322791530830843,0.04298812285830287,0.032676113135323745,0.015423047982752104,0.0270875646970691,0.03135478433852928,0.02105994567392019,0.03694603525275764
2,RACT,0.06,0.3,0.1878549349089031,0.0971212456777277,0.11236459221728945,0.12187122619922441,0.17159976634306,0.06813434400458669,0.033585213854749316,0.043206435972289826,0.03219669143110021,0.020364279017498352,0.02811300900238294,0.027463586806195706,0.020313856411343787,0.03581081815364858
2,RACT,0.08,0.3,0.1823175895160103,0.105943092154802,0.11652119572169271,0.13547162697257684,0.17354237056016933,0.0610037196681749,0.033670618114268816,0.039593964919389095,0.031959386019998634,0.017942416223244197,0.023691262123521385,0.02558469948511972,0.019307152562290743,0.03345090595874136
2,RACT,0.1,0.3,0.19155179236395733,0.1031709873393992,0.11987851948533092,0.12183595746271499,0.15600634517718392,0.0700106286072237,0.0331930617845754,0.03969771819892496,0.03494300323931122,0.018409217863832213,0.026564628200800713,0.02982262190423517,0.01816912212946571,0.03674639624304464
3,Baseline,0.0,0.3,0.19485412178709824,0.10699244548417902,0.10785888631736358,0.11926851492555057,0.1633254491746222,0.05619594292573385,0.03187311194658219,0.044514113599039604,0.031321525111336034,0.02726171508447549,0.023956987450422,0.030924059941539617,0.020058549303555915,0.04159457694850179
3,Baseline (OAF),0.0,0.3,0.24417227107936157,0.14698030791587471,0.1451579611450581,0.18054681465086928,0.1868654723785963,0.0,0.0,0.0,0.0,0.0,0.0,0.07515302951894294,0.021124143311296983,0.0
3,RACT,0.02,0.3,0.19081140721658754,0.09023866200587037,0.09953009540659098,0.11852907044330573,0.17625373130153751,0.06268686058420546,0.03522924639638732,0.04549644800583793,0.03500059134064575,0.023633357861472234,0.02407893969026563,0.029116828827247736,0.025441804665975083,0.04395295625407079
3,RACT,0.04,0.3,0.1922305895516492,0.08919284880601637,0.11629922900882692,0.12633809251485745,0.16287135043623047,0.06900491241769775,0.025976997196643602,0.043665140211414814,0.030972072815042873,0.02033028470282603,0.029418903141435807,0.031083509206403924,0.017694408920269435,0.04492166107068535
3,RACT,0.06,0.3,0.18714043475606737,0.10534577199882995,0.11129231965350506,0.11304495145279196,0.1623390804667946,0.058509002431745595,0.03701339327920408,0.04305332396745144,0.0291697278265468,0.021640821359020013,0.028380688070534604,0.033192601831001305,0.02647307737290174,0.043404805533605366
3,RACT,0.08,0.3,0.17685593064650496,0.11215631714442988,0.12541645350885097,0.11102903829716267,0.17382201421980498,0.06413946666085153,0.02842503286650124,0.04420704189007245,0.03331762384382318,0.017919911647447814,0.026992450598730004,0.02430621356297674,0.022151304123183585,0.03926120098965999
3,RACT,0.1,0.3,0.1928095523810085,0.09878016417840127,0.10871567263897115,0.13261153313413993,0.16832369861896204,0.06750531570972589,0.03506144207531737,0.04221353244778146,0.030005464714031916,0.015409461770052129,0.021786905418539542,0.029222713584482397,0.020330150757393837,0.037224392571192526
4,Baseline,0.0,0.3,0.1967818717499254,0.10304752848206744,0.10499684239092882,0.11326491342654027,0.16369624720233952,0.062262358282278905,0.0384056141959292,0.04663913592198167,0.036382903005082234,0.015977022349652818,0.021039801785963652,0.032435659765623896,0.019978557815335297,0.04509154362635084
4,Baseline (OAF),0.0,0.3,0.2550549092862893,0.16349289548902735,0.15691887066774204,0.1622576395407201,0.1701191647556798,0.0,0.0,0.0,0.0,0.0,0.0,0.072311737082372,0.01984478317816936,0.0
4,RACT,0.02,0.3,0.18935724759521122,0.09590775752156278,0.12214779265298474,0.12407506916590284,0.17064096164321935,0.0716457041549995,0.03012090741221609,0.03502366503603188,0.030831411472776456,0.016655073402760776,0.022998091721003436,0.030136424249024952,0.020096631952280224,0.040363262020025686
4,RACT,0.04,0.3,0.18794862008624527,0.10028030864514251,0.11209262887815054,0.11867775933401498,0.17365813645798833,0.06671555820055212,0.029336544195671554,0.04289417087196478,0.03408919369163159,0.016153956415609533,0.024606372845037795,0.03326754825555039,0.020636220531516713,0.03964298159092399
4,RACT,0.06,0.3,0.191556704828067,0.1112291438129193,0.11111017617317466,0.12535118919723343,0.16593002019814543,0.06409016604405808,0.035947743234416726,0.03988717860623443,0.033174415480380026,0.015382819464206604,0.018802402050797803,0.029715735141572157,0.022325520628639798,0.03549678514015473
4,RACT,0.08,0.3,0.17764377211749782,0.10542162462076463,0.1274433842570673,0.13417238248279675,0.167035145944909,0.05909282256099871,0.03556524093298087,0.040640211168658257,0.028312291214931506,0.015806801761398946,0.018018335956617733,0.026133405788774034,0.02006528144428258,0.04464929974832179
4,RACT,0.1,0.3,0.1803579897477382,0.11614463147100006,0.11798465776381092,0.12182098491131357,0.16823038178861024,0.05689716536766601,0.03664265162067999,0.042372932805027484,0.038407461633894226,0.01700641684878251,0.02417330184146155,0.02650882861549365,0.017780864303471956,0.03567173128104954
5,Baseline,0.0,0.3,0.18116632679611094,0.11616538884593311,0.11382640237653498,0.11915553212557008,0.16695320382499554,0.05524635693627789,0.03432920884066717,0.04225805932167036,0.03279759373998052,0.020437462843865592,0.024482307844354848,0.02786729728924236,0.028694797173549384,0.036620062041247375
5,Baseline (OAF),0.0,0.3,0.2566550690924056,0.15276449853725893,0.1570196056443266,0.1577370868628755,0.18899732517746876,0.0,0.0,0.0,0.0,0.0,0.0,0.06588972864941199,0.020936686036252605,0.0
5,RACT,0.02,0.3,0.18743117407793097,0.1023735832053256,0.1075004184812021,0.11596314658511726,0.17157831957704844,0.06352151305683433,0.03601662054220097,0.0430829333717124,0.03970808618165394,0.016938904269523693,0.025227211861960575,0.030480739437682206,0.01802757411198355,0.042149775239823974
5,RACT,0.04,0.3,0.18609363784705907,0.10511452811061835,0.12304782429699365,0.12851194322919227,0.1641960148283504,0.05577001793600092,0.03544773310648226,0.041528877147972196,0.03344266587739421,0.01838498711040353,0.022460206317381957,0.02704830320506313,0.020419411762046678,0.03853384922504127
5,RACT,0.06,0.3,0.18684962493615562,0.10499689254869991,0.11664432743425505,0.11979882927570484,0.16700691290989708,0.05645125201346171,0.031068246905971805,0.04503153768770793,0.03210251077214157,0.023086992379230613,0.021478040707271513,0.03183049967362586,0.02021251440176517,0.04344181835411122
5,RACT,0.08,0.3,0.18549187827155655,0.10848629281981335,0.11645361198463851,0.12524099636686756,0.16943899875664317,0.06503635745125559,0.02977929711799617,0.04153295318410115,0.029091982659525742,0.017339483541960674,0.022483157004363288,0.029253952477269092,0.02274808466495327,0.03762295369905585
