Fold,Method,Alpha,Budget,Married,Single,Age_lt_25,Age_in_25_to_40,Age_in_40_to_59,Age_geq_60,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue
1,Baseline,0.0,0.3,0.07632679347060879,0.05845367198270875,0.03960576953146441,0.04939695733041981,0.03739414025855868,0.020961073353997803,0.041751690169915714,0.14381682731170803,0.12133973937097195,0.047574134349391145,0.03084037545705935,0.03336465775149662,0.10186623421354647,0.0778844289048011,0.022215019771660953,0.09720848677169036
1,Baseline (OAF),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.17702757682775713,0.2077237022458864,0.1684637046461767,0.10278946791684802,0.08217903384168383,0.07074983305941317,0.13250696655334762,0.0585597149088872,0.0,0.0
1,RACT,0.2,0.3,0.0730405960998603,0.059707419724266866,0.051607537739104856,0.04736036487640836,0.04021376872060556,0.019077191753506032,0.038513832507211694,0.1501851548379097,0.1225038654264428,0.033009039446390616,0.01954542040294654,0.0333533259783976,0.11352801303711149,0.07354748610500732,0.020936062056932055,0.10387092128789828
1,RACT,0.4,0.3,0.0857017189971982,0.06687807313996094,0.05555347020143269,0.04976795307268723,0.04212006093267204,0.023809381072677067,0.041735029506894214,0.14444982821933425,0.11351793454825657,0.028343294948869228,0.011417791996245699,0.03707685653148064,0.11335252308687403,0.07515776806053939,0.01683859110746122,0.09427972457741664
1,RACT,0.6,0.3,0.10109074458723857,0.08337140591220116,0.06484749140815929,0.05640728748618299,0.046086024266775334,0.031654710530796916,0.03456912720391527,0.12429974306901612,0.09571795077948128,0.02444360860907783,0.01374504424015241,0.028342586195099093,0.1089666601300146,0.05646340228551291,0.017044824087205323,0.11294938920917086
1,RACT,0.8,0.3,0.12819283915092655,0.09294867552605282,0.060526002315298914,0.06481855767012835,0.05529968643396253,0.044037486504227556,0.030733825629090928,0.12463016484577807,0.07759226796679868,0.02483983452041333,0.011796297469761564,0.02799377583315743,0.09714956155987228,0.04508951917362948,0.021416461041286992,0.09293504435961447
1,RACT,1.0,0.3,0.120425640796213,0.09881910557117367,0.08427410740489223,0.07456659405908958,0.05225382986673528,0.04543141582340468,0.046074181114639616,0.11803897438314427,0.08970425618864705,0.030164475417866644,0.016248220220613337,0.02413474745532707,0.10424459045558533,0.04426950790000015,0.020314409090548262,0.031035944252119734
2,Baseline,0.0,0.3,0.06305923948057576,0.053734527995109534,0.04676353438956643,0.052760772466187995,0.04286255055648616,0.022312126777539628,0.037220146733569964,0.14557736294109977,0.12448597925912624,0.04603754927545667,0.02734298810823712,0.03197992988328079,0.09919877095354727,0.07806387524616729,0.02419724544171191,0.10440340049233746
2,Baseline (OAF),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.15560353072024935,0.21707433366011505,0.18671151139658443,0.10440757899309595,0.0760959409801079,0.06659360549151973,0.13283204036986745,0.06068145838846003,0.0,0.0
2,RACT,0.2,0.3,0.06545087907387635,0.05694484686656232,0.04652958565274374,0.04576010127007883,0.035235110532091066,0.020492126776656218,0.0384000626339122,0.1516740630803222,0.1237593071754557,0.03443133191527724,0.01807174116939713,0.03304645377058695,0.1177789909129181,0.07595614689467546,0.026284263086652052,0.11018498918879449
2,RACT,0.4,0.3,0.08859562081876063,0.06397217232266933,0.048477077168172095,0.05229578108946196,0.04092326158260529,0.02231791023981903,0.03504001175430636,0.14475425450203155,0.12097586975153442,0.030568062784358863,0.01308439835205863,0.03426089423861192,0.1143015605409111,0.07470184088803603,0.01711060739236369,0.09862067657429915
2,RACT,0.6,0.3,0.10947230238834157,0.087403127128639,0.07259820886900602,0.06424177549594988,0.050923836666316086,0.029238078227594343,0.036092726352281314,0.12289689042907945,0.09812872777022326,0.018596327680632165,0.011318474283952537,0.028130557327356098,0.0967421571026532,0.05022174745333206,0.01682960347181188,0.10716545935283107
2,RACT,0.8,0.3,0.11220953800706292,0.09667363615727245,0.07300075483538668,0.07132367660642731,0.056280363305001226,0.03274614701963436,0.03754540122365926,0.1313358429148232,0.07773359231736707,0.023193366101560357,0.011150517083137688,0.030845342689754283,0.09362379093717837,0.04738488560750062,0.01880181781011857,0.08615132738411559
2,RACT,1.0,0.3,0.13387884091722557,0.11465546287448442,0.07678085865412825,0.0705001959878673,0.058024608352848527,0.03411290023344758,0.04263170210329819,0.1326451073324653,0.07884761791964724,0.026976104977421034,0.013777736298459364,0.026238614066884235,0.09322510054222637,0.03924842877052343,0.01679174263900838,0.04166497833006475
3,Baseline,0.0,0.3,0.06824736782379183,0.059496198388660194,0.03733430726974624,0.04946086341133381,0.04005158622418031,0.020954726335999294,0.03980523222963757,0.1443588386346333,0.125162490946917,0.046979456213968374,0.027263758268845112,0.03220320773030061,0.11226048063715369,0.07442097928296004,0.02749700890249015,0.09450349769938238
3,Baseline (OAF),0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.18011402391552822,0.22822872364027555,0.15335634527622363,0.0979079020099379,0.08595245748447167,0.07557207822899509,0.11998905499184737,0.05887941445272058,0.0,0.0
3,RACT,0.2,0.3,0.07313378000586729,0.06275650283583714,0.04470793933945814,0.051597009619489834,0.03931474338085529,0.019399062129328522,0.03799030563590452,0.1523450889990793,0.12098230207426125,0.031092214653522344,0.013674325114870356,0.03341353534703713,0.12365797967729299,0.07232472414153815,0.028035211841700672,0.09557527520395709
