Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.3,0.6886898096304591,0.7368429509496214,0.7940740740740742,27.559221029281616,0.5420445662300648,0.9051833122629582,0.20733249051833122,0.5988229774971806,0.2978723404255319,1.1773743016759777,0.5431535661001754
1,Baseline (OAF),0.0,0.3,0.64501679731243,0.5638142320011141,0.7711191335740072,3.0956921577453613,0.6089780807665808,1.0,0.17675544794188863,0.6089780807665808,0.238521836506159,1.555690072639225,0.5188019273720432
1,RACT,0.02,0.3,0.6976483762597985,0.725606033014472,0.7991071428571427,19.69793391227722,0.4817247827577322,0.9834394904458599,0.37707006369426754,0.48983672858137267,0.45240761478163494,1.1994818652849741,0.5273306131719255
1,RACT,0.04,0.3,0.6998880179171333,0.7168650177284073,0.7991004497751124,24.213270902633667,0.35155732803771,1.0,0.5445161290322581,0.35155732803771,0.6047032474804032,1.0903225806451613,0.5249436862620893
1,RACT,0.06,0.3,0.6864501679731243,0.720670465866121,0.787556904400607,20.93685293197632,0.3092539144935095,1.0,0.6060606060606061,0.3092539144935095,0.6651735722284434,1.069828722002635,0.5160864378554216
1,RACT,0.08,0.3,0.6954087346024636,0.7254480305935535,0.793939393939394,24.796902894973755,0.3131337029550248,1.0,0.6031537450722734,0.3131337029550248,0.6618141097424413,1.055190538764783,0.5157765162771224
1,RACT,0.1,0.3,0.6931690929451287,0.7203624950456868,0.7905198776758409,27.097993850708008,0.26876492537855834,1.0,0.6662216288384513,0.26876492537855834,0.7200447928331467,1.0427236315086783,0.5156230935087388
2,Baseline,0.0,0.3,0.7054871220604704,0.7636655432514845,0.806190125276345,34.332518100738525,0.5338760778948539,0.8610763454317898,0.18523153942428036,0.6200101544156807,0.27099664053751404,1.2354651162790697,0.5525620472479611
2,Baseline (OAF),0.0,0.3,0.658454647256439,0.6022254319798854,0.7822983583154889,3.8602612018585205,0.519878423492433,1.0,0.2111506524317912,0.519878423492433,0.25531914893617025,1.480427046263345,0.5067599572593737
2,RACT,0.02,0.3,0.7110862262038073,0.7546380998234634,0.8100147275405007,20.80318284034729,0.5008795447744028,0.96625,0.31125,0.5183746905815294,0.3829787234042553,1.1720569210866754,0.5511704397561921
2,RACT,0.04,0.3,0.7077267637178052,0.7565612796233885,0.8065233506300964,22.513983011245728,0.3718154193356076,0.9911504424778761,0.515802781289507,0.3751351998653898,0.5711086226203808,1.1096938775510203,0.530502455653132
2,RACT,0.06,0.3,0.7043673012318029,0.7546675226020435,0.8044444444444444,25.78394913673401,0.26544766370756734,1.0,0.6679292929292929,0.26544766370756734,0.7054871220604704,1.0404040404040404,0.5177576780720226
2,RACT,0.08,0.3,0.7066069428891377,0.755338896913283,0.8047690014903129,22.29660701751709,0.2975631305325728,0.9961734693877551,0.6237244897959183,0.29870613871643675,0.6696528555431132,1.0665813060179257,0.5145346423636781
2,RACT,0.1,0.3,0.7122060470324748,0.7618145829989835,0.8077786088257293,22.25995421409607,0.2635053713333201,1.0,0.6854942233632862,0.2635053713333201,0.7256438969764838,1.03594351732991,0.5140653109463111
3,Baseline,0.0,0.3,0.6976483762597985,0.7755951425667362,0.8017621145374448,23.281702995300293,0.6221708363165059,0.904228855721393,0.14303482587064675,0.6880678850047741,0.22844344904815228,1.452544704264099,0.5698376266523921
3,Baseline (OAF),0.0,0.3,0.6539753639417694,0.600845236184668,0.7791279485346676,3.6531829833984375,0.5724846879330436,1.0,0.13436385255648037,0.5724846879330436,0.18477043673012317,1.5885850178359096,0.512859445762452
3,RACT,0.02,0.3,0.6987681970884658,0.7682688707002622,0.8002969561989607,21.409854888916016,0.45402609732278465,0.9708491761723701,0.37896070975918883,0.4676587347097612,0.4512877939529675,1.122715404699739,0.54902372846267
3,RACT,0.04,0.3,0.7021276595744681,0.7689910661745039,0.8014925373134328,20.72751784324646,0.38198989168116343,0.979539641943734,0.4859335038363171,0.38996879281288477,0.5498320268756999,1.1096605744125327,0.5317597328455871
3,RACT,0.06,0.3,0.7032474804031354,0.7664821056010271,0.801498127340824,20.405958890914917,0.33765292882770864,1.0,0.555984555984556,0.33765292882770864,0.6136618141097425,1.0759330759330759,0.5188662532934364
3,RACT,0.08,0.3,0.70996640537514,0.7669742684427325,0.8048229088168801,21.094974994659424,0.31855194896858124,1.0,0.5786736020806242,0.31855194896858124,0.6371780515117581,1.0455136540962289,0.5188760560331672
3,RACT,0.1,0.3,0.7032474804031354,0.7690017653667148,0.7999999999999999,22.93524193763733,0.31339224779539543,1.0,0.5919165580182529,0.31339224779539543,0.6494960806270997,1.0691003911342893,0.5149518200645347
4,Baseline,0.0,0.3,0.6961883408071748,0.741495503616423,0.8008817046289493,23.69323992729187,0.544393711909799,0.9402241594022416,0.23536737235367372,0.5790041730643293,0.3116591928251121,1.2251655629139073,0.5461655409095861
4,Baseline (OAF),0.0,0.3,0.6390134529147982,0.5736913270233727,0.7656477438136826,3.9439210891723633,0.5168051021827352,1.0,0.2034313725490196,0.5168051021827352,0.2713004484304933,1.2928921568627452,0.5113201092749241
4,RACT,0.02,0.3,0.7051569506726457,0.7367496190414868,0.8032909498878086,20.403661966323853,0.4603807506249957,0.9640564826700898,0.38125802310654683,0.47754541243258547,0.45964125560538116,1.1984021304926764,0.5323054631216448
4,RACT,0.04,0.3,0.7051569506726457,0.7357462494366106,0.8038777032065622,22.528937101364136,0.3511613772043922,0.9833971902937421,0.5338441890166028,0.3570900757805703,0.5908071748878924,1.0675324675324676,0.5184900296282577
