Fold,Method,Alpha,Budget,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native American,race:Other,c_charge_degree:F,c_charge_degree:M,gender
1,Baseline,0.0,0.3,0.18619901447416126,0.12312155305291139,0.12440393415057954,0.11336394146549754,0.14630701777301422,0.06681350496512037,0.029914321887288157,0.04343667645931415,0.027782101166796937,0.01996251004120512,0.027973622133358245,0.02744244003272866,0.024006293400811035,0.03927306899721347
1,Baseline (OAF),0.0,0.3,0.25937015514179035,0.13702144966955376,0.16024154597500848,0.16913788680739936,0.18943184743500338,0.0,0.0,0.0,0.0,0.0,0.0,0.06598938344634085,0.01880773152490389,0.0
1,RACT,0.02,0.3,0.1918893281036842,0.103797191524032,0.10760738218724457,0.119765543662771,0.1687655016149043,0.06685694006279777,0.03316397422920739,0.04638144106806117,0.02661019191842706,0.018439093666824388,0.025916237590751505,0.02708004789627716,0.025720818562289,0.03800630791272821
1,RACT,0.04,0.3,0.17962134671180263,0.10353598170104639,0.1116009379600853,0.12460180911061576,0.16655286613126072,0.06581353434264982,0.032632048664494734,0.04484213095522194,0.032169480050819675,0.018857226089197772,0.02131568625353893,0.03398126866005753,0.02270178702654322,0.04177389634266567
1,RACT,0.06,0.3,0.18795225246886402,0.09876819431142046,0.11326376400128121,0.12465769212578859,0.16724146386077093,0.060748028178355964,0.02958711453675698,0.04978309926117547,0.029018194265581655,0.02237832403353747,0.02585814553733026,0.029622142483660158,0.021000636956042353,0.04012094797943444
1,RACT,0.08,0.3,0.18604362209308173,0.10671253855442359,0.11987351409555465,0.11911209599755253,0.17450487182367175,0.06078776843518208,0.03533062607506766,0.04158724487779564,0.028512680782554558,0.0168741828457154,0.02171897895068671,0.03003445906393388,0.024431163299447688,0.03447625310533233
1,RACT,0.1,0.3,0.19822097105454264,0.1032073585190282,0.12879988490988437,0.1094389928598714,0.1639627070157969,0.06246135077782067,0.03239273403147902,0.048682430991282034,0.03331597676399717,0.013560581677118898,0.022427969146699357,0.02577534151585109,0.02290242299340397,0.03485127774322423
2,Baseline,0.0,0.3,0.20319678479449108,0.10448920103945906,0.12141376404629002,0.11158602490996675,0.15616918916502343,0.067607968787633,0.031053891799000744,0.042787168091496935,0.033579608929845045,0.014492693968576517,0.02509237910398285,0.026130810374184944,0.017450545749200054,0.04494996924084957
2,Baseline (OAF),0.0,0.3,0.24833768659439073,0.14845999469525545,0.15946827358338445,0.16544611400690495,0.19125590805665188,0.0,0.0,0.0,0.0,0.0,0.0,0.07050393528717808,0.016528087776234494,0.0
2,RACT,0.02,0.3,0.19378558434557802,0.09312385975903939,0.11970417411787267,0.1147410674265394,0.1661667296306394,0.06266195459301926,0.03152978626088603,0.03993677728646082,0.03789448932179472,0.01831779534169605,0.02979555703269607,0.028314984571857993,0.02198489607553624,0.04204234423638384
2,RACT,0.04,0.3,0.1833525815381391,0.10379351590462399,0.13067265066229125,0.12541175518475473,0.15780770012378398,0.06713684710152949,0.033790326018200104,0.04174355743717107,0.030507171143493376,0.01785160920171243,0.02565965315819174,0.026965548775296277,0.01631453569613614,0.038992548054676536
2,RACT,0.06,0.3,0.18758109048111765,0.10446724456293859,0.11185124269116219,0.1292241094150551,0.166296540280968,0.057977298988432374,0.02849652843082009,0.043843048304291296,0.03354469737004998,0.022391926124495365,0.0227027305704185,0.02789948033627726,0.018802265636282813,0.04492179680769092
2,RACT,0.08,0.3,0.18500911668880998,0.09289913564723781,0.12400207305674643,0.12258574412084565,0.1647882492119659,0.061463318516486856,0.030270619151130718,0.04167925088528458,0.036879191762847006,0.015539590801336016,0.027229395852989995,0.02836669047135736,0.027828617940494856,0.04145900589246687
2,RACT,0.1,0.3,0.1835017454912016,0.11558451918565806,0.10751820785817948,0.12246417458395731,0.17423326052807062,0.06170698483421739,0.03390212281345971,0.04521541339614789,0.03343555159153357,0.014097945778886165,0.020787023935068576,0.031042698744080645,0.02252919786875733,0.03398115339078162
3,Baseline,0.0,0.3,0.19246456381169944,0.11445245603116933,0.11255231687467461,0.11780851293900058,0.15993723637535445,0.06291291892736718,0.029936578821190867,0.04196148958868032,0.034028495629461655,0.020655030735174988,0.02344108649139496,0.030755085124753428,0.019922903237294416,0.03917132541278386
3,Baseline (OAF),0.0,0.3,0.26468492182634423,0.1543140606971609,0.14420097373847326,0.16026018644507617,0.18722268085490482,0.0,0.0,0.0,0.0,0.0,0.0,0.06744984001312779,0.021867336424912866,0.0
3,RACT,0.02,0.3,0.1788210099936753,0.09784820354169171,0.1158253449909272,0.12587156839413152,0.16718891133298827,0.05686817636760681,0.0308046043553816,0.04341518407645831,0.03878286791243814,0.019454214204506933,0.029025209064108014,0.03117596444116231,0.02230937993109736,0.04260936139382658
3,RACT,0.04,0.3,0.1938232906685023,0.10879102565288931,0.11549892486951735,0.11844379430802102,0.1679944151377172,0.06305738800614069,0.0343650902535402,0.03983214570748748,0.03093408995472686,0.018820966191199356,0.023528665204757923,0.025957555407778006,0.019713246533772693,0.03923940210394961
3,RACT,0.06,0.3,0.1855461466530084,0.10891516630050034,0.11816400316877718,0.12664728967828137,0.1677500752218276,0.05942876871131312,0.030276960728255704,0.03703567512894323,0.029884713067216358,0.02193640170304266,0.024708516966685502,0.02646908843839946,0.02057003186304006,0.04266716237070905
