Fold,Method,Alpha,Delta,Budget,Accuracy,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,1.0,0.3,0.6666666666666666,0.6302158273381295,0.07554483413696289,0.2342710711191595,1.0,0.6872246696035242,0.2342710711191595,0.8618677042801557,1.1762114537444934,0.45868020842734475
1,Baseline (OAF),0.0,1.0,0.3,0.6640726329442282,0.6372549019607844,0.045169830322265625,0.23191317248691262,1.0,0.7037552155771906,0.23191317248691262,0.8618677042801557,1.1682892906815021,0.45799199230103166
1,RACT,0.0,0.2,0.3,0.6569390402075227,0.5811559778305622,0.037188053131103516,0.2628890454125054,1.0,0.6155234657039711,0.2628890454125054,0.8618677042801557,1.1931407942238268,0.4647586673646764
1,RACT,0.0,0.25,0.3,0.6666666666666666,0.6302158273381295,0.035755157470703125,0.2342710711191595,1.0,0.6872246696035242,0.2342710711191595,0.8618677042801557,1.1762114537444934,0.45868020842734475
1,RACT,0.0,0.3,0.3,0.6666666666666666,0.6302158273381295,0.03512382507324219,0.2342710711191595,1.0,0.6872246696035242,0.2342710711191595,0.8618677042801557,1.1762114537444934,0.45868020842734475
1,RACT,0.0,0.35,0.3,0.6666666666666666,0.6302158273381295,0.03510403633117676,0.2342710711191595,1.0,0.6872246696035242,0.2342710711191595,0.8618677042801557,1.1762114537444934,0.45868020842734475
1,RACT,0.0,0.4,0.3,0.6666666666666666,0.6302158273381295,0.03487801551818848,0.2342710711191595,1.0,0.6872246696035242,0.2342710711191595,0.8618677042801557,1.1762114537444934,0.45868020842734475
1,RACT,0.025,0.2,0.3,0.5421530479896238,0.03021978021978022,0.034210205078125,0.11301359170125831,1.0,1.0,0.11301359170125831,1.0,1.0,0.45940006930757304
1,RACT,0.025,0.25,0.3,0.6569390402075227,0.5811559778305622,0.03324389457702637,0.30788598290167357,1.0,0.5252707581227437,0.30788598290167357,0.8294422827496757,1.2472924187725631,0.45520815313832685
1,RACT,0.025,0.3,0.3,0.6666666666666666,0.6302158273381295,0.03337502479553223,0.27087650925278534,1.0,0.6138032305433186,0.27087650925278534,0.8294422827496757,1.2276064610866373,0.45160179702901937
1,RACT,0.025,0.35,0.3,0.6666666666666666,0.6302158273381295,0.03268003463745117,0.27087650925278534,1.0,0.6138032305433186,0.27087650925278534,0.8294422827496757,1.2276064610866373,0.45160179702901937
1,RACT,0.025,0.4,0.3,0.6666666666666666,0.6302158273381295,0.033059120178222656,0.27087650925278534,1.0,0.6138032305433186,0.27087650925278534,0.8294422827496757,1.2276064610866373,0.45160179702901937
1,RACT,0.05,0.2,0.3,0.6666666666666666,0.6302158273381295,0.03560924530029297,0.1597583068040444,1.0,0.9324522760646109,0.1597583068040444,0.9701686121919585,1.0234948604992657,0.49650139397409976
1,RACT,0.05,0.25,0.3,0.6666666666666666,0.6302158273381295,0.03404808044433594,0.1597583068040444,1.0,0.9324522760646109,0.1597583068040444,0.9701686121919585,1.0234948604992657,0.49650139397409976
1,RACT,0.05,0.3,0.3,0.6666666666666666,0.6302158273381295,0.03945779800415039,0.1597583068040444,1.0,0.9324522760646109,0.1597583068040444,0.9701686121919585,1.0234948604992657,0.49650139397409976
1,RACT,0.05,0.35,0.3,0.6666666666666666,0.6302158273381295,0.03654980659484863,0.1597583068040444,1.0,0.9324522760646109,0.1597583068040444,0.9701686121919585,1.0234948604992657,0.49650139397409976
1,RACT,0.05,0.4,0.3,0.6666666666666666,0.6302158273381295,0.03325486183166504,0.1597583068040444,1.0,0.9324522760646109,0.1597583068040444,0.9701686121919585,1.0234948604992657,0.49650139397409976
1,RACT,0.075,0.2,0.3,0.669260700389105,0.6413502109704641,0.0312192440032959,0.18477404657629906,1.0,0.8821879382889201,0.18477404657629906,0.9455252918287937,1.0154277699859748,0.5065506120837535
1,RACT,0.075,0.25,0.3,0.669260700389105,0.6413502109704641,0.02941107749938965,0.18477404657629906,1.0,0.8821879382889201,0.18477404657629906,0.9455252918287937,1.0154277699859748,0.5065506120837535
1,RACT,0.075,0.3,0.3,0.669260700389105,0.6413502109704641,0.0305941104888916,0.18477404657629906,1.0,0.8821879382889201,0.18477404657629906,0.9455252918287937,1.0154277699859748,0.5065506120837535
1,RACT,0.075,0.35,0.3,0.669260700389105,0.6413502109704641,0.029610157012939453,0.18477404657629906,1.0,0.8821879382889201,0.18477404657629906,0.9455252918287937,1.0154277699859748,0.5065506120837535
1,RACT,0.075,0.4,0.3,0.669260700389105,0.6413502109704641,0.02985405921936035,0.18477404657629906,1.0,0.8821879382889201,0.18477404657629906,0.9455252918287937,1.0154277699859748,0.5065506120837535
1,RACT,0.1,0.2,0.3,0.5583657587548638,0.2424916573971079,0.04332590103149414,0.10540783354027171,1.0,1.0,0.10540783354027171,1.0,1.0052631578947369,0.43976121316921607
1,RACT,0.1,0.25,0.3,0.5583657587548638,0.2424916573971079,0.04248499870300293,0.10540783354027171,1.0,1.0,0.10540783354027171,1.0,1.0052631578947369,0.43976121316921607
