Fold,Method,Alpha,Delta,Budget,Accuracy,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,1.0,0.3,0.7028238458090542,0.796188134030126,0.3275330066680908,0.6137511812921089,0.802710027100271,0.08997289972899729,0.7645988720350715,0.24742268041237114,1.486158001350439,0.5177923321120241
1,Baseline (OAF),0.0,1.0,0.3,0.6458987001344688,0.7672362993517972,0.09448790550231934,0.46352601235181223,1.0,0.351460221550856,0.46352601235181223,0.4226804123711341,1.298590130916415,0.5139975587049892
1,RACT,0.0,0.2,0.3,0.41281936351411924,0.16133162612035853,0.817681074142456,0.4406053557674751,0.8831168831168831,0.23376623376623376,0.49892077050140554,0.9471089197669207,1.1397058823529411,0.5184094052442664
1,RACT,0.0,0.25,0.3,0.41281936351411924,0.16133162612035853,0.8140935897827148,0.4406053557674751,0.8831168831168831,0.23376623376623376,0.49892077050140554,0.9471089197669207,1.1397058823529411,0.5184094052442664
1,RACT,0.0,0.3,0.3,0.41281936351411924,0.16133162612035853,0.6894171237945557,0.4406053557674751,0.8831168831168831,0.23376623376623376,0.49892077050140554,0.9471089197669207,1.1397058823529411,0.5184094052442664
1,RACT,0.0,0.35,0.3,0.41281936351411924,0.16133162612035853,0.7791931629180908,0.4406053557674751,0.8831168831168831,0.23376623376623376,0.49892077050140554,0.9471089197669207,1.1397058823529411,0.5184094052442664
1,RACT,0.0,0.4,0.3,0.41281936351411924,0.16133162612035853,0.8294041156768799,0.4406053557674751,0.8831168831168831,0.23376623376623376,0.49892077050140554,0.9471089197669207,1.1397058823529411,0.5184094052442664
1,RACT,0.025,0.2,0.3,0.5203944419542806,0.5307017543859649,1.1770329475402832,0.22876549858307305,1.0,0.7339449541284404,0.22876549858307305,0.896010757507844,1.0126146788990826,0.5106288978693005
1,RACT,0.025,0.25,0.3,0.6898251904975348,0.7803174603174603,0.3169078826904297,0.23368216092039576,1.0,0.6963260619977037,0.23368216092039576,0.7628865979381443,1.0464982778415615,0.5142909382010157
1,RACT,0.025,0.3,0.3,0.6884805020170327,0.786088027085257,0.3702521324157715,0.24461047177529294,1.0,0.6518196632265073,0.24461047177529294,0.7126848946660691,1.1064638783269962,0.5154824579345701
1,RACT,0.025,0.35,0.3,0.6889287315105334,0.7864615384615384,0.29825401306152344,0.24514673500424009,1.0,0.6498371335504886,0.24514673500424009,0.7108919766920663,1.1085776330076005,0.5152380026494633
1,RACT,0.025,0.4,0.3,0.6889287315105334,0.7864615384615384,0.30063486099243164,0.24514673500424009,1.0,0.6498371335504886,0.24514673500424009,0.7108919766920663,1.1085776330076005,0.5152380026494633
1,RACT,0.05,0.2,0.3,0.5329448677722994,0.5599662162162162,1.018918752670288,0.21857008203079037,1.0,0.74375,0.21857008203079037,0.8897355445988346,1.0208333333333333,0.5191202299335991
1,RACT,0.05,0.25,0.3,0.6961004034065441,0.7885215221459763,0.3316338062286377,0.2278079628624575,1.0,0.7130144605116796,0.2278079628624575,0.7687135813536531,1.0367074527252502,0.5181027231978718
1,RACT,0.05,0.3,0.3,0.6961004034065441,0.7885215221459763,0.3946981430053711,0.2278079628624575,1.0,0.7130144605116796,0.2278079628624575,0.7687135813536531,1.0367074527252502,0.5181027231978718
1,RACT,0.05,0.35,0.3,0.6969968623935455,0.78927680798005,0.32557225227355957,0.22924595335266854,1.0,0.7111111111111111,0.22924595335266854,0.7669206633796504,1.0461111111111112,0.5173178536747237
1,RACT,0.05,0.4,0.3,0.6969968623935455,0.78927680798005,0.3466479778289795,0.22924595335266854,1.0,0.7111111111111111,0.22924595335266854,0.7669206633796504,1.0461111111111112,0.5173178536747237
1,RACT,0.075,0.2,0.3,0.6795159121470192,0.7697262479871175,0.35117626190185547,0.22957630800064477,1.0,0.7242192103712434,0.22957630800064477,0.7902285970416854,1.0176782557454331,0.5116072520150172
1,RACT,0.075,0.25,0.3,0.6723442402510085,0.7796201386795297,0.25907182693481445,0.2504086499425008,1.0,0.6202200104766894,0.2504086499425008,0.6750336172120126,1.140387637506548,0.5152083843030933
1,RACT,0.075,0.3,0.3,0.6723442402510085,0.7796201386795297,0.34266090393066406,0.2504086499425008,1.0,0.6202200104766894,0.2504086499425008,0.6750336172120126,1.140387637506548,0.5152083843030933
1,RACT,0.075,0.35,0.3,0.6727924697445092,0.7799879445449066,0.40329504013061523,0.2502775459372953,1.0,0.6204188481675392,0.2502775459372953,0.6750336172120126,1.1403141361256544,0.5152273849320802
1,RACT,0.075,0.4,0.3,0.6727924697445092,0.7799879445449066,0.288071870803833,0.2502775459372953,1.0,0.6204188481675392,0.2502775459372953,0.6750336172120126,1.1403141361256544,0.5152273849320802
1,RACT,0.1,0.2,0.3,0.67996414164052,0.7704180064308681,0.2750370502471924,0.22895792404139761,1.0,0.7297297297297297,0.22895792404139761,0.7938144329896908,1.0164512338425382,0.5119228637506575
1,RACT,0.1,0.25,0.3,0.6727924697445092,0.7802528597230584,0.38693714141845703,0.24980234885703537,1.0,0.6253918495297806,0.24980234885703537,0.6786194531600179,1.141065830721003,0.5153955385411197
1,RACT,0.1,0.3,0.3,0.6727924697445092,0.7802528597230584,0.34360194206237793,0.24980234885703537,1.0,0.6253918495297806,0.24980234885703537,0.6786194531600179,1.141065830721003,0.5153955385411197
1,RACT,0.1,0.35,0.3,0.6732406992380099,0.780619921757448,0.29608798027038574,0.2496719037662484,1.0,0.6255874673629243,0.2496719037662484,0.6786194531600179,1.1409921671018277,0.5154143918294366
1,RACT,0.1,0.4,0.3,0.6732406992380099,0.780619921757448,0.2628490924835205,0.2496719037662484,1.0,0.6255874673629243,0.2496719037662484,0.6786194531600179,1.1409921671018277,0.5154143918294366
2,Baseline,0.0,1.0,0.3,0.7077543702375616,0.7973896830329398,0.27811098098754883,0.4791389347301532,0.6444689047881123,0.07980187121629059,0.7434632317717236,0.2505602868668758,1.5209222886421863,0.5117278454528663
2,Baseline (OAF),0.0,1.0,0.3,0.651277454056477,0.7645278450363195,0.14511632919311523,0.45339447892024637,1.0,0.3899106673673148,0.45339447892024637,0.47960555804571936,1.3536521282186023,0.5110782104130156
2,RACT,0.0,0.2,0.3,0.4119229045271179,0.17691342534504392,0.5151231288909912,0.5053972704451242,0.8963730569948186,0.16580310880829016,0.5638247005543872,0.9278350515463918,1.2196531791907514,0.5152274841962525
2,RACT,0.0,0.25,0.3,0.4119229045271179,0.17691342534504392,0.6066782474517822,0.5053972704451242,0.8963730569948186,0.16580310880829016,0.5638247005543872,0.9278350515463918,1.2196531791907514,0.5152274841962525
2,RACT,0.0,0.3,0.3,0.4119229045271179,0.17691342534504392,0.5556290149688721,0.5053972704451242,0.8963730569948186,0.16580310880829016,0.5638247005543872,0.9278350515463918,1.2196531791907514,0.5152274841962525
2,RACT,0.0,0.35,0.3,0.4119229045271179,0.17691342534504392,0.6037609577178955,0.5053972704451242,0.8963730569948186,0.16580310880829016,0.5638247005543872,0.9278350515463918,1.2196531791907514,0.5152274841962525
2,RACT,0.0,0.4,0.3,0.4119229045271179,0.17691342534504392,0.576617956161499,0.5053972704451242,0.8963730569948186,0.16580310880829016,0.5638247005543872,0.9278350515463918,1.2196531791907514,0.5152274841962525
2,RACT,0.025,0.2,0.3,0.39757956073509637,0.10160427807486631,0.3318748474121094,0.1408479407107242,1.0,0.9157894736842105,0.1408479407107242,0.9964141640519946,1.105263157894737,0.5399291359313287
2,RACT,0.025,0.25,0.3,0.39757956073509637,0.10160427807486631,0.3202049732208252,0.1408479407107242,1.0,0.9157894736842105,0.1408479407107242,0.9964141640519946,1.105263157894737,0.5399291359313287
2,RACT,0.025,0.3,0.3,0.39757956073509637,0.10160427807486631,0.3897860050201416,0.1408479407107242,1.0,0.9157894736842105,0.1408479407107242,0.9964141640519946,1.105263157894737,0.5399291359313287
2,RACT,0.025,0.35,0.3,0.39757956073509637,0.10160427807486631,0.3571908473968506,0.1408479407107242,1.0,0.9157894736842105,0.1408479407107242,0.9964141640519946,1.105263157894737,0.5399291359313287
2,RACT,0.025,0.4,0.3,0.39757956073509637,0.10160427807486631,0.41504573822021484,0.1408479407107242,1.0,0.9157894736842105,0.1408479407107242,0.9964141640519946,1.105263157894737,0.5399291359313287
2,RACT,0.05,0.2,0.3,0.5190497534737786,0.5312363477501092,0.6762588024139404,0.20384202126120282,1.0,0.7972972972972973,0.20384202126120282,0.919318691169879,1.007882882882883,0.5145474542505485
2,RACT,0.05,0.25,0.3,0.6808606006275213,0.7729591836734694,0.3135800361633301,0.22243987688551273,1.0,0.7348703170028819,0.22243987688551273,0.7938144329896908,1.0213256484149855,0.5157104846563721
2,RACT,0.05,0.3,0.3,0.6808606006275213,0.7729591836734694,0.3675527572631836,0.22243987688551273,1.0,0.7348703170028819,0.22243987688551273,0.7938144329896908,1.0213256484149855,0.5157104846563721
