Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.3,0.6839546191247974,0.7306388747669886,0.6138613861386139,3.2587389945983887,0.2732861914996821,1.0,0.7142857142857143,0.2732861914996821,0.8962722852512156,1.5133928571428572,0.43319231158364585
1,Baseline (OAF),0.0,0.3,0.7034035656401945,0.73581278596848,0.6629834254143646,1.6537747383117676,0.27212982889169757,1.0,0.6564885496183206,0.27212982889169757,0.8541329011345219,1.5419847328244274,0.4430694675049528
1,RACT,0.02,0.3,0.7017828200972447,0.7322434756820877,0.6461538461538461,1.8320751190185547,0.2936894260121126,1.0,0.5983263598326359,0.2936894260121126,0.8444084278768234,1.4602510460251046,0.43764786834169916
1,RACT,0.04,0.3,0.6807131280388979,0.7298551093035079,0.6067864271457086,1.9335641860961914,0.2904539514023034,1.0,0.6454545454545455,0.2904539514023034,0.873581847649919,1.3,0.43891147544354836
1,RACT,0.06,0.3,0.6709886547811994,0.7245911709879681,0.577962577962578,2.1520848274230957,0.24462424071548006,1.0,0.78,0.24462424071548006,0.9286871961102107,1.47,0.43969767703092716
1,RACT,0.08,0.3,0.6807131280388979,0.7278321470937129,0.6004056795131845,2.0364809036254883,0.22172317515771606,1.0,0.8443396226415094,0.22172317515771606,0.946515397082658,1.4481132075471699,0.44116688540782206
1,RACT,0.1,0.3,0.6758508914100486,0.7313220216912387,0.5850622406639004,1.8994710445404053,0.23569316578703742,1.0,0.8009950248756219,0.23569316578703742,0.9351701782820098,1.36318407960199,0.4422747215252429
2,Baseline,0.0,0.3,0.6888168557536467,0.7445401203185902,0.6144578313253012,2.2143349647521973,0.3155463710772915,1.0,0.6082949308755761,0.3155463710772915,0.8622366288492707,1.3456221198156681,0.4344254860042794
2,Baseline (OAF),0.0,0.3,0.6871961102106969,0.7371208269784782,0.6266924564796904,1.7506906986236572,0.26752845471694314,1.0,0.7627118644067796,0.26752845471694314,0.9092382495948136,1.5042372881355932,0.44158202134509666
2,RACT,0.02,0.3,0.7034035656401945,0.7418657854600915,0.6473988439306358,2.055314064025879,0.29302259697635546,1.0,0.680672268907563,0.29302259697635546,0.8768233387358185,1.1890756302521008,0.4320249812084374
2,RACT,0.04,0.3,0.6855753646677472,0.7374597525843077,0.5958333333333333,2.2569658756256104,0.26042869637572913,1.0,0.7738693467336684,0.26042869637572913,0.927066450567261,1.5175879396984924,0.44116972697227524
2,RACT,0.06,0.3,0.6823338735818476,0.7403988730723606,0.588235294117647,2.0716300010681152,0.25550714350558146,1.0,0.7948717948717948,0.25550714350558146,0.9351701782820098,1.3333333333333333,0.4445101049491644
2,RACT,0.08,0.3,0.6758508914100486,0.7367448313845111,0.5726495726495726,1.920903205871582,0.23901420275854102,1.0,0.7593582887700535,0.23901420275854102,0.927066450567261,1.3636363636363635,0.4562620630891525
2,RACT,0.1,0.3,0.6645056726094003,0.7379681409930521,0.5410199556541019,2.2247066497802734,0.23176787618583847,1.0,0.8,0.23176787618583847,0.9448946515397083,1.4823529411764707,0.4458110857946596
3,Baseline,0.0,0.3,0.646677471636953,0.6890251652262329,0.5674603174603174,2.2318782806396484,0.3062676592159909,1.0,0.6816143497757847,0.3062676592159909,0.8849270664505673,1.5964125560538116,0.4448448804675639
3,Baseline (OAF),0.0,0.3,0.6547811993517018,0.6898724792408066,0.6148282097649187,1.7144241333007812,0.2936613762509122,1.0,0.6066176470588235,0.2936613762509122,0.826580226904376,1.474264705882353,0.45241256230949284
3,RACT,0.02,0.3,0.6580226904376013,0.6914770801559057,0.6041275797373359,1.8371098041534424,0.3155319592932379,1.0,0.6031746031746031,0.3155319592932379,0.8379254457050243,1.3452380952380953,0.45041046028047294
3,RACT,0.04,0.3,0.6499189627228525,0.6873517200474495,0.5748031496062992,2.112030029296875,0.2702426958361389,1.0,0.7136563876651982,0.2702426958361389,0.8946515397082658,1.52863436123348,0.45323858089622854
3,RACT,0.06,0.3,0.653160453808752,0.6907833418064735,0.5737051792828685,1.8171679973602295,0.22726515996649616,1.0,0.7692307692307693,0.22726515996649616,0.9173419773095624,1.4796380090497738,0.4521796078602913
3,RACT,0.08,0.3,0.6515397082658023,0.693272326724284,0.5725646123260437,2.0577640533447266,0.27054507845851766,1.0,0.7072072072072072,0.27054507845851766,0.8946515397082658,1.4144144144144144,0.44753357549229295
3,RACT,0.1,0.3,0.6564019448946515,0.6946280291476021,0.5708502024291499,1.863253116607666,0.2203118024323762,1.0,0.7981220657276995,0.2203118024323762,0.9303079416531604,1.3286384976525822,0.4622262416540081
4,Baseline,0.0,0.3,0.6774716369529984,0.726359938993391,0.6027944111776448,2.3533849716186523,0.3157120219057186,1.0,0.6363636363636364,0.3157120219057186,0.8703403565640194,1.3818181818181818,0.4296436798891304
4,Baseline (OAF),0.0,0.3,0.6726094003241491,0.7222345788849348,0.6130268199233716,1.6324999332427979,0.2778325476757946,1.0,0.6846473029045643,0.2778325476757946,0.8768233387358185,1.4232365145228216,0.43780106861820073
4,RACT,0.02,0.3,0.6677471636952999,0.7261057447890188,0.5972495088408645,1.9918949604034424,0.2904924388869534,1.0,0.6754385964912281,0.2904924388869534,0.880064829821718,1.3333333333333333,0.44549198625053515
4,RACT,0.04,0.3,0.6758508914100486,0.7246441281138791,0.6015936254980079,2.000366687774658,0.27225601209935846,1.0,0.669683257918552,0.27225601209935846,0.8816855753646677,1.3755656108597285,0.44654399347503493
