Fold,Method,Alpha,Budget,White,Alchy,Junky,Super,Married,Felon,Workrel,Propty,Person,Male,Priors,School,Rule,Age,Tservd,Follow
1,Baseline,0.0,0.3,0.06229296490301354,0.05998955459290942,0.053448057973135954,0.05111147008307136,0.039226976440339234,0.041175186819772544,0.03526300167571073,0.03440966170804976,0.02217046454972601,0.019355119190663548,0.08173954478177471,0.10644821874406392,0.08068591121980165,0.11114434548866552,0.12446182479876353,0.0770776970305385
1,Baseline (OAF),0.0,0.3,0.0,0.17653801999891086,0.1387865486489782,0.0,0.0,0.0,0.11656905206389614,0.0,0.0,0.0,0.0,0.2845033505050311,0.2836030287831836,0.0,0.0,0.0
1,RACT,0.02,0.3,0.06373907123533278,0.058407511900414634,0.047346220398463076,0.049671743759317245,0.034502908739573526,0.03748973358982321,0.03049000080754709,0.031800152096417726,0.022379662649548836,0.01830888181053975,0.0779559519059906,0.1246521867746763,0.08736159987824015,0.10799302361887947,0.12695136985619326,0.08094998097904249
1,RACT,0.04,0.3,0.06252327645901755,0.05723388152355854,0.05133081857284997,0.04760010172355845,0.03559767937443476,0.03702759265963857,0.03154899700299319,0.029706451595437094,0.02146648211450822,0.01801264156353882,0.07615654971731164,0.1278075125212351,0.08786608112119064,0.10889262158623533,0.12849550204298735,0.07873381042150479
1,RACT,0.06,0.3,0.05654632545450545,0.057459237256464214,0.04955773866807478,0.049435006423042785,0.03720641331384358,0.038066092415670404,0.032089528079941226,0.031684092210344406,0.0207296106987905,0.01676030956469296,0.07934587982619597,0.1264495451708353,0.08793790513630691,0.11093533419942622,0.12766105326694344,0.07813592831492187
1,RACT,0.08,0.3,0.06268043863214497,0.05503171295401613,0.04783976686566061,0.04863185368999127,0.03805924822412424,0.03835325217235302,0.030651278780720218,0.03240140233750053,0.021640867504276746,0.01888376057934722,0.07653433802012254,0.12705347572598483,0.08735129020107522,0.10817604385624306,0.12760391881337882,0.0791073516430605
1,RACT,0.1,0.3,0.06074102753600962,0.05805291192441148,0.049402462491914934,0.04639354126710149,0.03635424108957175,0.03953599272549453,0.03199144132568626,0.03178272186439282,0.020984927354203833,0.018789945385792112,0.07553947592293081,0.1299720430203193,0.08683109596512142,0.10961448866687762,0.12271083384797027,0.08130284961220179
2,Baseline,0.0,0.3,0.06261901585995343,0.05843074883302439,0.054382666590550605,0.0519372792581822,0.03823528092231492,0.040287959732840176,0.035338639375633155,0.03462577695589388,0.0222840970705866,0.01933167296730686,0.08506725448988263,0.10452766990304406,0.08136207421398708,0.10968388866418562,0.12550744435374178,0.0763785308088726
2,Baseline (OAF),0.0,0.3,0.0,0.17233391427403513,0.13416277379798275,0.0,0.0,0.0,0.11279097598806828,0.0,0.0,0.0,0.0,0.30270422086458193,0.2780081150753319,0.0,0.0,0.0
2,RACT,0.02,0.3,0.060118089557535066,0.05737688158181421,0.048469065482555876,0.04860794571965353,0.037203038524017094,0.03766599636073597,0.03261348521683621,0.03216280570714295,0.022004249672503747,0.01741368532462231,0.07651515034758788,0.12434546641404247,0.08604466232854477,0.11263982469450795,0.1270635925119794,0.07975606055592051
2,RACT,0.04,0.3,0.05977759974269409,0.05661999338331561,0.04821895669920494,0.04842344719525482,0.03562797806337985,0.03945776981848214,0.033140023171556725,0.032978081634810426,0.020454861915247965,0.017869262112073916,0.07893846028027562,0.12729946183241755,0.08511866746126825,0.11039133596980763,0.12599954069729757,0.07968456002291284
2,RACT,0.06,0.3,0.05955289209826367,0.05598538895702315,0.04819747432803942,0.0485418162694653,0.03495298616371166,0.03978187614969714,0.03255118865904722,0.03198995160598272,0.021473063503769037,0.018144249164870715,0.07917801524953809,0.1297064638572112,0.08862831213195858,0.10910524339187881,0.12436071461146463,0.07785036385807864
2,RACT,0.08,0.3,0.06381416410871543,0.05330937562761615,0.04789724455265137,0.04613756105896456,0.03914435397014859,0.04133548089562052,0.029394078737956835,0.030126465594675862,0.020151013892543337,0.01947029978260192,0.07751548422892483,0.13156745412510787,0.08702793652009083,0.1104506415423258,0.12518779377222033,0.07747065158983586
2,RACT,0.1,0.3,0.06244627297598194,0.05724767086847834,0.04612521482876035,0.0473212288506507,0.0361285377311564,0.0370648637992865,0.032645847980425566,0.031530308418734075,0.019909933047411597,0.018211843275892398,0.07628522459358981,0.13077763034866471,0.08904034101951815,0.10859566033317114,0.12624933883953984,0.08042008308873845
3,Baseline,0.0,0.3,0.06448196083199244,0.06121100264244158,0.04987302580812956,0.05140949003372163,0.040664442070955355,0.04108268099956104,0.033379477916863326,0.03244014481050281,0.021720920457967398,0.018820042733371834,0.08316803746180987,0.10459999986986708,0.08079843906402685,0.10888858241608527,0.12932153017430564,0.07814022270839835
3,Baseline (OAF),0.0,0.3,0.0,0.17072320569143176,0.13306628694928407,0.0,0.0,0.0,0.124410012490334,0.0,0.0,0.0,0.0,0.2950293049422755,0.2767711899266747,0.0,0.0,0.0
3,RACT,0.02,0.3,0.060711920780924425,0.05946415457533953,0.04818421873931629,0.04936350339633039,0.036761748534998556,0.03686938602591916,0.030955508532923545,0.030014007204428417,0.023234820888739405,0.017567901183573483,0.07665829706523968,0.12898042176550775,0.08863503232020448,0.11005452392411726,0.12529273154826975,0.07725182351416791
3,RACT,0.04,0.3,0.06078524057072632,0.058798318409949014,0.04883973329639679,0.04629287114344326,0.03551138692546484,0.03880956986412726,0.032193822936106516,0.033440592305904945,0.020917100729105444,0.017966903663522372,0.07599575219218398,0.12865686544561408,0.08814395888281791,0.10869433241092605,0.1266956500022616,0.07825790122144971
