Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
7,RACT,1.0,0.3,0.779,0.6035812501492483,0.0,207.34625625610352,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8,Baseline,0.0,0.3,0.8103333333333333,0.6715794378710636,0.3901393354769561,226.5213611125946,0.2506167458933802,1.0,0.6481481481481481,0.2506167458933802,0.9683333333333334,1.3666666666666667,0.5369627817314642
8,Baseline (OAF),0.0,0.3,0.779,0.5735831411660152,0.0,209.38042497634888,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8,RACT,0.2,0.3,0.7946666666666666,0.6456592775025155,0.17426273458445038,201.0837950706482,0.15562974721005998,1.0,0.9518072289156626,0.15562974721005998,0.9986666666666667,1.6987951807228916,0.5259443653760835
8,RACT,0.4,0.3,0.788,0.6208727590967265,0.10422535211267607,206.44829416275024,0.07142021693601579,1.0,1.0,0.07142021693601579,1.0,1.3404255319148937,0.5063617132301373
8,RACT,0.6,0.3,0.779,0.5965606083781724,0.0,194.80120992660522,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8,RACT,0.8,0.3,0.779,0.5910392266580442,0.0,185.250736951828,0.0,1.0,1.0,0.0,1.0,0.0,0.0
8,RACT,1.0,0.3,0.779,0.564310705026555,0.0,196.088632106781,0.0,1.0,1.0,0.0,1.0,0.0,0.0
9,Baseline,0.0,0.3,0.8073333333333333,0.6709111280205444,0.3662280701754386,216.40043997764587,0.21855601613679024,1.0,0.6947791164658634,0.21855601613679024,0.9746666666666667,1.4417670682730923,0.5395617058183402
9,Baseline (OAF),0.0,0.3,0.779,0.5806638049709862,0.0,203.01855301856995,0.0,1.0,1.0,0.0,1.0,0.0,0.0
9,RACT,0.2,0.3,0.795,0.6370890346198057,0.18326693227091634,210.68348598480225,0.14468545962540164,1.0,0.9111111111111111,0.14468545962540164,0.9973333333333333,1.6111111111111112,0.523084269602584
9,RACT,0.4,0.3,0.7893333333333333,0.6143264850128853,0.11731843575418993,199.4979431629181,0.0635954295577726,1.0,1.0,0.0635954295577726,1.0,1.2075471698113207,0.4992626038235993
9,RACT,0.6,0.3,0.779,0.6036386905902875,0.0,200.2607991695404,0.0,1.0,1.0,0.0,1.0,0.0,0.0
9,RACT,0.8,0.3,0.779,0.6068079185197662,0.0,208.01389408111572,0.0,1.0,1.0,0.0,1.0,0.0,0.0
9,RACT,1.0,0.3,0.779,0.562279636847333,0.0,212.41400599479675,0.0,1.0,1.0,0.0,1.0,0.0,0.0
10,Baseline,0.0,0.3,0.8156666666666667,0.6806979465365026,0.3982589771490751,217.5287127494812,0.19621016052609577,1.0,0.76953125,0.19621016052609577,0.9803333333333333,1.3125,0.5320772471054112
10,Baseline (OAF),0.0,0.3,0.779,0.5836939495853639,0.0,205.3479790687561,0.0,1.0,1.0,0.0,1.0,0.0,0.0
10,RACT,0.2,0.3,0.8003333333333333,0.6472934257801735,0.22908622908622908,200.8477020263672,0.140953765538214,1.0,0.9473684210526315,0.140953765538214,0.998,1.5175438596491229,0.5360576915583066
10,RACT,0.4,0.3,0.7913333333333333,0.6333621826334958,0.1494565217391304,220.96500301361084,0.05927600460794132,1.0,1.0,0.05927600460794132,1.0,1.2191780821917808,0.5133618469972403
10,RACT,0.6,0.3,0.779,0.6109239456290728,0.0,197.0201621055603,0.0,1.0,1.0,0.0,1.0,0.0,0.0
10,RACT,0.8,0.3,0.779,0.586541769204308,0.0,208.4568271636963,0.0,1.0,1.0,0.0,1.0,0.0,0.0
10,RACT,1.0,0.3,0.779,0.5970504656225414,0.0,208.0962131023407,0.0,1.0,1.0,0.0,1.0,0.0,0.0
