Fold,Method,Alpha,Budget,N_ESTIMATORS,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.3,100,0.6855753646677472,0.7257350449076427,0.622568093385214,2.4224228858947754,0.33505489718878645,1.0,0.5364806866952789,0.33505489718878645,0.8249594813614263,1.4763948497854078,0.4427639161515175
1,Baseline (OAF),0.0,0.3,100,0.6920583468395461,0.7354050160989662,0.6346153846153846,0.8232741355895996,0.28687795584424786,1.0,0.6276150627615062,0.28687795584424786,0.8557536466774717,1.5439330543933054,0.43981251935382343
1,RACT,0.02,0.3,100,0.6904376012965965,0.7320104643280799,0.6291262135922331,0.7975890636444092,0.29475695705274474,1.0,0.6452991452991453,0.29475695705274474,0.8654781199351702,1.4786324786324787,0.4342182047209929
1,RACT,0.04,0.3,100,0.6661264181523501,0.7247553380782917,0.5726141078838174,0.8347768783569336,0.2642728470197976,1.0,0.746268656716418,0.2642728470197976,0.9173419773095624,1.3880597014925373,0.43895425431582075
1,RACT,0.06,0.3,100,0.6645056726094003,0.7278745127944416,0.562367864693446,0.8254439830780029,0.24037857148092404,1.0,0.765625,0.24037857148092404,0.927066450567261,1.375,0.44588663762031594
1,RACT,0.08,0.3,100,0.6758508914100486,0.7371949669547535,0.5780590717299577,0.8269131183624268,0.22831697304927298,1.0,0.8186528497409327,0.22831697304927298,0.9432739059967585,1.3212435233160622,0.4399829191384311
1,RACT,0.1,0.3,100,0.6758508914100486,0.7342505507541095,0.5833333333333333,0.9418811798095703,0.22189711942786475,1.0,0.8391959798994975,0.22189711942786475,0.9481361426256077,1.4170854271356783,0.44307812812510095
1,Baseline,0.0,0.3,400,0.6952998379254457,0.7281392984239959,0.6412213740458016,4.181829214096069,0.32639271779751405,1.0,0.6172839506172839,0.32639271779751405,0.8492706645056726,1.48559670781893,0.43028844111138004
1,Baseline (OAF),0.0,0.3,400,0.706645056726094,0.7354950432130148,0.6578449905482042,3.8847618103027344,0.2795423254826442,1.0,0.6532258064516129,0.2795423254826442,0.8606158833063209,1.5524193548387097,0.4406772457344276
1,RACT,0.02,0.3,400,0.6823338735818476,0.7281340027114048,0.611111111111111,3.8707261085510254,0.28369891361292493,1.0,0.6816143497757847,0.28369891361292493,0.8849270664505673,1.5336322869955157,0.43369723528246085
1,RACT,0.04,0.3,400,0.6726094003241491,0.7304323419759363,0.5910931174089069,3.9823849201202393,0.2523185171570972,1.0,0.7370892018779343,0.2523185171570972,0.9092382495948136,1.4413145539906103,0.4449399129544879
1,RACT,0.06,0.3,400,0.6790923824959482,0.7303052448737503,0.5942622950819673,4.104684829711914,0.24473839756765361,1.0,0.7342995169082126,0.24473839756765361,0.9108589951377634,1.4251207729468598,0.4465492814371662
1,RACT,0.08,0.3,400,0.6628849270664505,0.7303211320115235,0.5574468085106383,4.08221697807312,0.21526197002440164,1.0,0.8201058201058201,0.21526197002440164,0.9448946515397083,1.3968253968253967,0.45443137521723037
1,RACT,0.1,0.3,400,0.6693679092382496,0.7351667090323675,0.5659574468085107,4.114928722381592,0.23431741046808038,1.0,0.8042328042328042,0.23431741046808038,0.940032414910859,1.3227513227513228,0.4453224491511598
2,Baseline,0.0,0.3,100,0.6904376012965965,0.7343670564311133,0.6217821782178218,0.9963841438293457,0.27510828720780384,1.0,0.7053571428571429,0.27510828720780384,0.893030794165316,1.375,0.4417484626850033
2,Baseline (OAF),0.0,0.3,100,0.6952998379254457,0.7347642348754448,0.6412213740458016,0.827085018157959,0.2756493652612459,1.0,0.7407407407407407,0.2756493652612459,0.8978930307941653,1.522633744855967,0.4354419340713637
2,RACT,0.02,0.3,100,0.6823338735818476,0.7338798508727334,0.6141732283464567,1.1823129653930664,0.28199234981287385,1.0,0.7004405286343612,0.28199234981287385,0.8897893030794165,1.4581497797356828,0.44817119246028
2,RACT,0.04,0.3,100,0.6904376012965965,0.7406530672767327,0.6141414141414141,1.0043697357177734,0.2762867465679914,1.0,0.7289719626168224,0.2762867465679914,0.9059967585089141,1.3831775700934579,0.4422636570407788
2,RACT,0.06,0.3,100,0.6807131280388979,0.7413626927639383,0.5670329670329671,0.8850340843200684,0.23490041996451064,1.0,0.7701149425287356,0.23490041996451064,0.9351701782820098,1.4022988505747127,0.45510044406285816
2,RACT,0.08,0.3,100,0.6564019448946515,0.732757159803423,0.511520737327189,0.8888840675354004,0.23910831127220666,1.0,0.7516339869281046,0.23910831127220666,0.9384116693679092,1.3202614379084967,0.4739975066959711
2,RACT,0.1,0.3,100,0.6612641815235009,0.7395356719200137,0.5303370786516854,0.9470670223236084,0.2300829301423384,1.0,0.7621951219512195,0.2300829301423384,0.9367909238249594,1.3231707317073171,0.47313600274564965
2,Baseline,0.0,0.3,400,0.6888168557536467,0.7418075326215896,0.6190476190476191,4.419956922531128,0.3008297064981197,1.0,0.6278026905829597,0.3008297064981197,0.8654781199351702,1.4260089686098654,0.4365894568242705
2,Baseline (OAF),0.0,0.3,400,0.6807131280388979,0.7379151838671412,0.6275992438563326,3.4397950172424316,0.2786475607753256,1.0,0.6733870967741935,0.2786475607753256,0.8687196110210698,1.4153225806451613,0.44350390316295035
2,RACT,0.02,0.3,400,0.6904376012965965,0.7408596000677852,0.6172344689378758,4.0789570808410645,0.2939420338199118,1.0,0.6834862385321101,0.2939420338199118,0.8881685575364667,1.4311926605504588,0.4375259562559265
