Fold,Method,Alpha,Budget,N_ESTIMATORS,Married,Single,Age_lt_25,Age_in_25_to_40,Age_in_40_to_59,Age_geq_60,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue
3,RACT,0.4,0.3,100,0.06937065464377792,0.07398408719311965,0.04882458081431555,0.04899958215294587,0.053984353695981396,0.024241917921828112,0.03674090311354569,0.1348828754445264,0.1254298693667776,0.022893873474416144,0.015751695744491263,0.03859664302817042,0.11880048491206863,0.06940461953335217,0.0272804623356279,0.09081339662505528
3,RACT,0.6,0.3,100,0.1085517507701338,0.09852252164399637,0.08091446142217541,0.06184587868662559,0.04021193124497707,0.029158551046920785,0.036707025890616765,0.12458996903565313,0.09643657661781414,0.016668398155764853,0.00998988415640293,0.03151549506138684,0.09816398859123832,0.053069580796637254,0.025517291291290066,0.08813669558836679
3,RACT,0.8,0.3,100,0.11525271380195276,0.10732553181950022,0.07097269215575006,0.07165484482891779,0.05173164237083648,0.028079306225830235,0.036048741029378537,0.1289532450739566,0.08025311243109061,0.025694731687424217,0.011459072999558423,0.02746425086175697,0.11409571921253642,0.044682625448716304,0.017093303412853738,0.06923846663994072
3,RACT,1.0,0.3,100,0.13185551877341914,0.10739797658488523,0.08345422388469174,0.06238952339408508,0.042573930304547015,0.03155664308744806,0.03349378076313324,0.1661457063794992,0.09226321578395764,0.02016282763298681,0.0180187045418823,0.025425705157067064,0.09791007615979212,0.03617500260710242,0.01629727245902371,0.03487989248647928
3,Baseline,0.0,0.3,400,0.07077097189197963,0.05779724257565009,0.04470182321638912,0.0465307664088212,0.041972114909525106,0.019948330782012146,0.03813106559709361,0.14746293726450665,0.12168529941274629,0.0462038024231764,0.028504572246429296,0.03282523131501685,0.10847132564433204,0.0742940756421512,0.026817131143221592,0.09388330952694883
3,Baseline (OAF),0.0,0.3,400,0.0,0.0,0.0,0.0,0.0,0.0,0.17977282531481464,0.20244619001708597,0.1646021127732868,0.10774820212084968,0.07568981472160527,0.07963307402805969,0.13018321601094662,0.059924565013351416,0.0,0.0
3,RACT,0.2,0.3,400,0.07691871323549829,0.06496805896718168,0.042805600577969956,0.04858957445948506,0.03686119008647249,0.02219153250310585,0.036769688688029614,0.14974116095801795,0.12041602215291981,0.0288600477605153,0.01670546560558607,0.03180487456229784,0.12466217661596843,0.07400707345079778,0.021233737686526137,0.10346508268962763
3,RACT,0.4,0.3,400,0.08227932297865961,0.07349503142412113,0.04835663872286519,0.048771217198158835,0.03992905319203485,0.02789848572973599,0.03718906923925484,0.14642578538356024,0.11706383521856845,0.02376285591427164,0.014438369584849398,0.03855569803709918,0.12116642509462405,0.06870534328741008,0.017724668552502505,0.09423820044228408
3,RACT,0.6,0.3,400,0.10543083152020549,0.08000109326530598,0.0630473329625481,0.061647800831041336,0.04557777604107661,0.029169476444795624,0.030305359217543248,0.13970873262458444,0.09713547149325658,0.02091355308410346,0.013151587741406238,0.03301003277391828,0.10964312932344951,0.051040238114573054,0.019007310854990016,0.10121027370720202
3,RACT,0.8,0.3,400,0.12066613342642406,0.09149511011756037,0.06885357711072093,0.06372722320028328,0.047259256812829525,0.034724242026164504,0.035311443655069344,0.13621832925860564,0.09178797986293358,0.025668866848778702,0.011014996527822365,0.03351117930627781,0.10501159225568885,0.04089193027748948,0.02291531056532601,0.0709428287480256
