Fold,Method,Alpha,Budget,N_ESTIMATORS,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
1,Baseline,0.0,0.3,100,0.08579803310245238,0.09251050452323487,0.0681057680043197,0.08061956804134332,0.07370809282861086,0.03168486777899216,0.025050857948777948,0.04154763167926871,0.04675825060513578,0.02255911425517103,0.016223659968085658,0.05647134826121618,0.031035371061040783,0.05175162185286698,0.035624164157410154,0.023970439474084195,0.019745911364414916,0.05009391928976515,0.03305264183841124,0.0302864593131381,0.025686317562365495,0.018487307024216044,0.03922815006567848
1,Baseline (OAF),0.0,0.3,100,0.0,0.0,0.0,0.0,0.1210851286041115,0.0,0.0,0.0754998859583037,0.08666701964794882,0.05578458020064166,0.04355204003870852,0.0,0.0,0.10209182480532426,0.06668922031419937,0.051245974045501956,0.04212398053157087,0.08524463343305093,0.06225962945896715,0.05796988868729054,0.04733367195298875,0.03341558469392822,0.06903693762746388
1,RACT,0.2,0.3,100,0.0725107216296638,0.07489100573088858,0.057484114195194246,0.06811974761440409,0.06788329065159987,0.029297241820761034,0.02408740616877935,0.0547081140969164,0.04881895412446853,0.024242798885381885,0.022725794944578052,0.043213408532523014,0.02846840341226374,0.05847752623706689,0.027465435181378815,0.03075604110153072,0.02527583912699275,0.06492486564305193,0.03680943965889918,0.038843598773980685,0.031286483143526694,0.022974148667516018,0.04673562065863381
1,RACT,0.4,0.3,100,0.07467471853960786,0.07114577735956391,0.05714001898988127,0.06612329809193468,0.07465379363855819,0.029492949010754638,0.02712766582316746,0.05091623886154832,0.05129019215841942,0.026779721536329515,0.022572517841776704,0.040933589931348324,0.027474717212902563,0.06003036150770944,0.029648730637910927,0.027465024636543784,0.021638855664595644,0.0633372507992295,0.038075992537542014,0.038586378117344555,0.030712268527263026,0.02169207793036096,0.04848786064570714
1,RACT,0.6,0.3,100,0.07432637526702533,0.07652258624340535,0.05993775062115823,0.06779867159706986,0.06870037171172,0.03211788026713418,0.02431426265380146,0.05503144440562604,0.05372186833857956,0.025754452172734973,0.020935021383393572,0.044039057130433185,0.025470035561472978,0.05655961266202445,0.031432584503367444,0.027881419234688495,0.021293666637724484,0.05869286428891264,0.039887959679388636,0.03625081183144436,0.027011760610038883,0.023437279545217578,0.04888226365363847
1,RACT,0.8,0.3,100,0.07367580098489977,0.07417594712996448,0.056543717481614394,0.06413388051849825,0.07172219562730951,0.031598909697764646,0.027123213517751217,0.05321414567831856,0.05353972753567692,0.025957501651640083,0.02340518498480791,0.045058344547105236,0.026335661747005638,0.05613589739006013,0.030302853732308316,0.028173023016570063,0.023232662794368048,0.05900213608533245,0.04008106250290281,0.03682607477049348,0.028285009151043674,0.022604822392727528,0.048872227061836956
1,RACT,1.0,0.3,100,0.07111095328834809,0.07756946659213897,0.06038817570937522,0.06165623683052411,0.0698913950103358,0.03348385441886465,0.02322258653990468,0.05246267983499929,0.05414010522755139,0.02722264926161737,0.02257456075057326,0.0437945749027842,0.023916437184749596,0.05894762655653624,0.026530772938201004,0.02655982480486753,0.02353371573283379,0.06048198712591038,0.04187668602120167,0.03989792831434666,0.029390415824278218,0.021704896236997027,0.049642470893060786
1,Baseline,0.0,0.3,400,0.08851682652372438,0.09085409917430382,0.07150226119085328,0.08200564856311844,0.07132989927688238,0.032351242761077634,0.024405378697758693,0.04259953153106285,0.04550356832025924,0.022497708245926135,0.01709313362923545,0.054339514895928503,0.028272023781916133,0.05076291225254852,0.03555003840829526,0.02519557058027496,0.020133666231840312,0.048567041321222734,0.03201754716412375,0.03197747432962897,0.026402284848489926,0.01860200350601475,0.03952062476551391
1,Baseline (OAF),0.0,0.3,400,0.0,0.0,0.0,0.0,0.11702185213477892,0.0,0.0,0.07850002694706942,0.0902298673153675,0.05530933249320037,0.0474582166667667,0.0,0.0,0.10151841706630993,0.06565999249387057,0.053826488830005875,0.041074230776934,0.08833688905974078,0.05852204206038337,0.0558499425868218,0.045748567398841845,0.031254280278949664,0.0696898538909593
1,RACT,0.2,0.3,400,0.07266725483227947,0.07140870722554225,0.05558491874783057,0.06744000332464613,0.07249964277301883,0.03074246220320493,0.02359939076914733,0.052503918706595765,0.05020826467255605,0.024183329374753027,0.020727388655192105,0.043235476092568774,0.026770448915970767,0.05989095389461937,0.02980140437152609,0.030666843620628853,0.024929615102300923,0.06333118129469466,0.038770076686746015,0.03791220946738425,0.031169349397128805,0.023164872044722572,0.04879228782694251
