Fold,Method,Alpha,Budget,N_ESTIMATORS,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.3,100,0.7956666666666666,0.6368422104513946,0.3647668393782384,117.21091723442078,0.30800666967505286,1.0,0.5249169435215947,0.30800666967505286,0.9523333333333334,1.3754152823920265,0.5240738808229406
1,Baseline (OAF),0.0,0.3,100,0.7786666666666666,0.5552396873452716,0.0,101.48224377632141,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.2,0.3,100,0.7963333333333333,0.6148159633396602,0.23337515683814303,101.80838012695312,0.13882779032596754,1.0,0.924812030075188,0.13882779032596754,0.9966666666666667,1.4661654135338347,0.5168850084931697
1,RACT,0.4,0.3,100,0.792,0.5966282725078396,0.15902964959568733,105.58379006385803,0.08075316291822048,1.0,1.0,0.08075316291822048,1.0,1.435897435897436,0.5111068257892102
1,RACT,0.6,0.3,100,0.7786666666666666,0.570788290146889,0.003003003003003003,116.06267285346985,0.027302240457098073,1.0,1.0,0.027302240457098073,1.0,1.0,0.5800888315845381
1,RACT,0.8,0.3,100,0.7786666666666666,0.5638116464144248,0.0,110.19522786140442,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,1.0,0.3,100,0.7786666666666666,0.5521908911330253,0.0,111.1305992603302,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,Baseline,0.0,0.3,400,0.795,0.6521864426885624,0.36137071651090336,463.9782381057739,0.31306997075232923,0.9966555183946488,0.5016722408026756,0.31412054112398136,0.9503333333333334,1.278523489932886,0.5270475027440777
1,Baseline (OAF),0.0,0.3,400,0.7786666666666666,0.5574381214928206,0.0,484.0847098827362,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.2,0.3,400,0.795,0.6269618284782966,0.21855146124523506,473.7933449745178,0.15758632781034332,1.0,0.9186991869918699,0.15758632781034332,0.9966666666666667,1.5447154471544715,0.5234219369205393
1,RACT,0.4,0.3,400,0.7913333333333333,0.6137489813706883,0.14945652173913043,494.20632791519165,0.09267366112900699,1.0,1.0,0.09267366112900699,1.0,1.3055555555555556,0.5182657123448831
1,RACT,0.6,0.3,400,0.7786666666666666,0.60193513781152,0.0,481.7885329723358,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.8,0.3,400,0.7786666666666666,0.6059435730937449,0.0,451.40694403648376,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,1.0,0.3,400,0.7786666666666666,0.5818175312551576,0.0,470.3582010269165,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,Baseline,0.0,0.3,100,0.8003333333333333,0.65285532111322,0.3818369453044376,113.80795121192932,0.3023792657105854,0.9967213114754099,0.5442622950819672,0.3033739343477912,0.9536666666666667,1.5723684210526316,0.5390170885201314
2,Baseline (OAF),0.0,0.3,100,0.779,0.5617089505281401,0.0030075187969924814,116.9837372303009,0.013578586651211338,1.0,1.0,0.013578586651211338,1.0,1.0,0.519439121129161
2,RACT,0.2,0.3,100,0.7963333333333333,0.6312571561932662,0.20546163849154744,107.99342203140259,0.11162548473169508,1.0,1.0,0.11162548473169508,1.0,1.2952380952380953,0.5282911091684594
2,RACT,0.4,0.3,100,0.785,0.5918503852739726,0.08510638297872339,109.38175296783447,0.07052534654130109,1.0,1.0,0.07052534654130109,1.0,1.2926829268292683,0.5165086469916517
2,RACT,0.6,0.3,100,0.7786666666666666,0.5622588814160753,0.0,109.87223386764526,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,0.8,0.3,100,0.7786666666666666,0.5348522729617099,0.0,112.54578685760498,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,1.0,0.3,100,0.7786666666666666,0.563534102162073,0.0,120.2812397480011,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,Baseline,0.0,0.3,400,0.8006666666666666,0.6611977662361775,0.37447698744769875,460.2798731327057,0.3109464858022084,0.9965753424657534,0.5273972602739726,0.3120150304269582,0.954,1.4501718213058419,0.5394719954958359
2,Baseline (OAF),0.0,0.3,400,0.7786666666666666,0.5682365592507015,0.0,482.22228813171387,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,0.2,0.3,400,0.7943333333333333,0.6411007901468889,0.19765929778933677,499.14741110801697,0.14367542609094122,1.0,0.9523809523809523,0.14367542609094122,0.9983333333333333,1.3428571428571427,0.535599524799134
2,RACT,0.4,0.3,400,0.788,0.6252640055083347,0.11666666666666665,526.2416031360626,0.07343945487245482,1.0,1.0,0.07343945487245482,1.0,1.3928571428571428,0.5143483862031367
2,RACT,0.6,0.3,400,0.7786666666666666,0.6191947799760686,0.0,494.8940999507904,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,0.8,0.3,400,0.7786666666666666,0.6115411990427464,0.0,456.78350281715393,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,1.0,0.3,400,0.7786666666666666,0.5809491175317709,0.0,469.70149087905884,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3,Baseline,0.0,0.3,100,0.8043333333333333,0.663423600222809,0.39671120246659813,124.47515320777893,0.26879939361066557,1.0,0.5566343042071198,0.26879939361066557,0.9543333333333334,1.2912621359223302,0.5207180081281914
3,Baseline (OAF),0.0,0.3,100,0.7786666666666666,0.5463431207707543,0.0,120.34470820426941,0.0,1.0,1.0,0.0,1.0,0.0,0.0
