Fold,Method,Alpha,Budget,N_ESTIMATORS,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
5,Baseline,0.0,0.3,400,0.702914798206278,0.7500536561286031,0.8044280442804427,37.35442614555359,0.2600269927878829,0.3450439146800502,0.05771643663739021,0.7536055027343369,0.15807174887892372,2.0327272727272727,0.5005150691262645
5,Baseline (OAF),0.0,0.3,400,0.6580717488789237,0.5959532547807611,0.7785039941902686,8.00399374961853,0.5043406300069645,1.0,0.221001221001221,0.5043406300069645,0.2847533632286996,1.3492063492063493,0.5083686443757701
5,RACT,0.02,0.3,400,0.7062780269058296,0.7408757753310584,0.8056379821958457,38.2940411567688,0.3813044231383215,0.7088607594936709,0.23291139240506328,0.537911596927275,0.320627802690583,1.35,0.508485903873501
5,RACT,0.04,0.3,400,0.7141255605381166,0.7384371042860516,0.8089887640449439,36.81532287597656,0.39923825602495405,0.9884169884169884,0.4826254826254826,0.4039168293377465,0.5493273542600896,1.1302083333333333,0.5129083347920267
5,RACT,0.06,0.3,400,0.7141255605381166,0.7389575687335007,0.8087021755438859,37.86523413658142,0.3867545831473921,0.9974193548387097,0.5019354838709678,0.3877552418360011,0.5672645739910314,1.0827943078913325,0.5123987785046742
5,RACT,0.08,0.3,400,0.7174887892376681,0.7339755971927113,0.809090909090909,38.170892000198364,0.34766710581612115,0.994750656167979,0.5538057742782152,0.34950176072807965,0.6188340807174888,1.1121372031662269,0.5136437104178396
5,RACT,0.1,0.3,400,0.7298206278026906,0.7436122378898118,0.8156082631981637,39.15188908576965,0.3453069972143057,0.9973297730307076,0.5567423230974633,0.34623151394044843,0.6278026905829597,1.0963855421686748,0.5141393839734352
6,Baseline,0.0,0.3,100,0.7017937219730942,0.7275824694696628,0.8041237113402061,9.925053834915161,0.3318147265569607,0.44,0.0425,0.7541243785385469,0.14125560538116588,1.9090909090909092,0.5040507419318163
6,Baseline (OAF),0.0,0.3,100,0.6468609865470852,0.5907566587255596,0.7748391708363117,1.4227242469787598,0.5539208321305283,1.0,0.16527942925089179,0.5539208321305283,0.21300448430493268,1.469678953626635,0.5085657481569644
6,RACT,0.02,0.3,100,0.7107623318385651,0.7148874294421909,0.8088888888888889,9.625913858413696,0.5300221415260076,0.9204545454545454,0.2777777777777778,0.5758265241270206,0.3587443946188341,1.4554183813443073,0.5141709831908368
6,RACT,0.04,0.3,100,0.7062780269058296,0.7219727212242182,0.8064992614475628,7.734698057174683,0.3767781394706234,0.9912060301507538,0.5025125628140703,0.380120911303696,0.5560538116591929,1.1482889733840305,0.5106259634224141
6,RACT,0.06,0.3,100,0.7062780269058296,0.7233329040843045,0.804185351270553,8.059412956237793,0.42414396940288024,0.9256410256410257,0.4115384615384615,0.45821647664023074,0.4854260089686099,1.2770083102493075,0.5073480216161976
6,RACT,0.08,0.3,100,0.7051569506726457,0.7232738823428412,0.8027006751687922,8.134763956069946,0.33250508510856813,1.0,0.5651612903225807,0.33250508510856813,0.6221973094170403,1.0412903225806451,0.5116590007166453
6,RACT,0.1,0.3,100,0.7085201793721974,0.7214307943253279,0.8048048048048048,8.697343111038208,0.2820313846597583,1.0,0.6356589147286822,0.2820313846597583,0.6838565022421524,1.0322997416020672,0.5099253887943288
6,Baseline,0.0,0.3,400,0.7085201793721974,0.7350433541519112,0.8085419734904271,42.25987935066223,0.3063866615152214,0.3975,0.0425,0.7707840541263432,0.14125560538116588,1.9245283018867925,0.5015680617359187
6,Baseline (OAF),0.0,0.3,400,0.649103139013453,0.5871938917863199,0.7756272401433691,6.993126153945923,0.5215928015557326,1.0,0.1935483870967742,0.5215928015557326,0.24327354260089684,1.6654719235364397,0.5125688572527097
6,RACT,0.02,0.3,400,0.7085201793721974,0.7272712639237654,0.808259587020649,38.36147618293762,0.44544231739828816,0.7055137844611529,0.17794486215538846,0.6313729472181775,0.2645739910313901,1.6145648312611012,0.5111559722467378
6,RACT,0.04,0.3,400,0.7085201793721974,0.7344477711244178,0.8076923076923076,38.68345928192139,0.3683980781387627,0.9974811083123426,0.5088161209068011,0.3693283763158807,0.5627802690582959,1.1098484848484849,0.5091851721332323
6,RACT,0.06,0.3,400,0.7130044843049327,0.7324839568175476,0.8078078078078079,40.468618869781494,0.3612092084170344,0.9987080103359173,0.5322997416020672,0.36167649070476665,0.594170403587444,1.113842173350582,0.5104711253894895
6,RACT,0.08,0.3,400,0.718609865470852,0.7302813727383942,0.8108515448379805,39.61316180229187,0.31870435401958036,0.9986996098829649,0.576072821846554,0.31911933364721,0.6345291479820627,1.07421875,0.5102445274159414
6,RACT,0.1,0.3,400,0.718609865470852,0.7312659626982594,0.8102796674225246,38.441853046417236,0.2726449045990195,1.0,0.6287581699346405,0.2726449045990195,0.6816143497757847,1.0588235294117647,0.512208368776008
7,Baseline,0.0,0.3,100,0.6928251121076233,0.714230141866804,0.7997076023391813,8.643338918685913,0.38496209798947173,0.5148148148148148,0.06790123456790123,0.7477681040083264,0.1535874439461884,1.8345323741007193,0.507530692190634
7,Baseline (OAF),0.0,0.3,100,0.6367713004484304,0.5495594831841693,0.7692307692307693,1.2845220565795898,0.6277704304618472,1.0,0.15721040189125296,0.6277704304618472,0.20067264573991028,1.793144208037825,0.5174880534455415
7,RACT,0.02,0.3,100,0.6961883408071748,0.6929984117785933,0.8002947678703022,8.369388103485107,0.6346376000222617,0.9111389236545682,0.1677096370463079,0.6965322011233338,0.25448430493273544,1.75,0.5256652194806354
