Fold,Method,Alpha,Budget,N_ESTIMATORS,White,Alchy,Junky,Super,Married,Felon,Workrel,Propty,Person,Male,Priors,School,Rule,Age,Tservd,Follow
1,Baseline,0.0,0.3,100,0.06383028866257838,0.06252393587914354,0.05054258217107599,0.0481211532848572,0.040306793392360006,0.03838373009859126,0.03347600957916578,0.03433114211285615,0.02076704457363221,0.017434675105506697,0.08292256782615641,0.10879453053270416,0.08075077983952132,0.11114037618881316,0.12644384921112428,0.08023054154191354
1,Baseline (OAF),0.0,0.3,100,0.0,0.17057392154330364,0.1282136475395726,0.0,0.0,0.0,0.11089151559988644,0.0,0.0,0.0,0.0,0.2871121339364976,0.3032087813807397,0.0,0.0,0.0
1,RACT,0.02,0.3,100,0.06200747298306764,0.0571943314479639,0.049638296189812844,0.04932495223142482,0.03960586228673549,0.0402131788088188,0.02998593742830025,0.03041781449469147,0.022416071760370526,0.017911999425688826,0.07881361035937702,0.12645776850979154,0.08810494631448715,0.10800031703362123,0.12152268523283169,0.07838475549301682
1,RACT,0.04,0.3,100,0.06517239624187289,0.05486489752836551,0.046808629722822376,0.04698197415626494,0.03611878381868903,0.03842262460276525,0.031599039135026534,0.029823114896808927,0.021526954938672495,0.017549107793063415,0.07671674998933505,0.12384771774476441,0.08928607663115277,0.11082137889398636,0.1294729977700868,0.08098755613632318
1,RACT,0.06,0.3,100,0.05920679318300985,0.056455079760340254,0.04917469962021951,0.044478693811246806,0.038608498099464775,0.03974150100340018,0.031249175917636794,0.03481418709802342,0.019889296576404522,0.016982336942816516,0.07926478701914111,0.12702231275242348,0.0897546577433893,0.10934070304435702,0.12816598878719174,0.07585128864093486
1,RACT,0.08,0.3,100,0.05661525166196942,0.054942252213829375,0.047404326294989654,0.049221195078610856,0.038541626191651045,0.038391849725675394,0.03230798307210078,0.03259172547187821,0.02059917078619698,0.0207824900246673,0.07594547845111378,0.12397596905375026,0.08944219259751462,0.11053455179590195,0.12602026824648038,0.08268366933366998
1,RACT,0.1,0.3,100,0.05643790215724984,0.05492819575948742,0.051423337623142364,0.047333468544637845,0.038110938705441764,0.035903176481329874,0.032252040256722146,0.031379089562517774,0.02287517077622504,0.017053846001941195,0.0775242906307309,0.1340754035272346,0.08733805363088795,0.10632814504100599,0.12796660145313973,0.07907033984830562
1,Baseline,0.0,0.3,400,0.06353096629636865,0.05669645150048348,0.051105568605217276,0.052246514635009,0.03996967107991156,0.04284495696147023,0.03368946011277374,0.03368467043438769,0.022699289938554964,0.01941879377999751,0.08243304311709729,0.10676129132941103,0.08140944879383288,0.1094656724479115,0.1284198094124586,0.07562439155511456
1,Baseline (OAF),0.0,0.3,400,0.0,0.16067663565060034,0.1367957139007502,0.0,0.0,0.0,0.12706758838954188,0.0,0.0,0.0,0.0,0.2927311424356985,0.2827289196234091,0.0,0.0,0.0
1,RACT,0.02,0.3,400,0.06034865942549075,0.05524218374633156,0.0472648326440902,0.049326233708120025,0.03678950577177711,0.037155188846369966,0.030681660905066247,0.031702573316654964,0.022169375900633226,0.01838818977667323,0.07859892342088032,0.12375910874103989,0.0864727844680189,0.11117588785077806,0.1280935977892427,0.08283129368883276
1,RACT,0.04,0.3,400,0.06056344650483576,0.05543791764423268,0.0485097228575994,0.048832479904039786,0.036438100605627674,0.037592604411589174,0.031051353381149515,0.03147444400244989,0.021809143871766124,0.0187237039008746,0.07700690728299978,0.12592726698807538,0.0857207375457606,0.11188377572141954,0.12897584009150687,0.08005255528607329
1,RACT,0.06,0.3,400,0.06059233224322561,0.056035939528097975,0.04776135108690059,0.04966538886988952,0.0387084158396398,0.03798307725334943,0.03140194766376795,0.032278128545807076,0.020195239717015912,0.0192517559882924,0.07624921512400613,0.12735097169077583,0.08407689212319028,0.11054584666602292,0.12782842478520842,0.08007507287481018
1,RACT,0.08,0.3,400,0.059567878887726744,0.05463527227750893,0.047694173792419456,0.04766794502622903,0.037906217937254634,0.039313778908332146,0.03248814466530843,0.03214922069796407,0.021396649272725735,0.01919165858657771,0.07628125402442239,0.12653875992895847,0.08769887772905649,0.10916138596081867,0.12759932070307756,0.08070946160161949
1,RACT,0.1,0.3,400,0.057655494742155325,0.05507410132162624,0.04799532284640295,0.04750883968762855,0.03795084275932326,0.03816933304266903,0.032289255336882816,0.03242574047416313,0.02056599528222742,0.01914672917511617,0.07627094318239819,0.13082614667866002,0.08960759718276087,0.10986311285652407,0.12574738112497302,0.07890316430648894
2,Baseline,0.0,0.3,100,0.06695008800080944,0.05948390469477425,0.04936085809358491,0.05262435246927845,0.04094823953850846,0.04184949188710686,0.03282489543140166,0.03538996857585311,0.02401742008073977,0.018456507402748682,0.08120006334683257,0.10688083166853098,0.07832629572556875,0.10684468439461406,0.12831604503384111,0.07652635365580687
2,Baseline (OAF),0.0,0.3,100,0.0,0.19161442226648207,0.1372597495348812,0.0,0.0,0.0,0.12176880669065902,0.0,0.0,0.0,0.0,0.2820407439552224,0.2673162775527554,0.0,0.0,0.0
2,RACT,0.02,0.3,100,0.06520534242343186,0.05435024858128593,0.04822494615154199,0.042860856127915604,0.03912114616892894,0.03942376754054373,0.03351003215776068,0.03182668506192108,0.023491771198078073,0.016295527360510154,0.07929859417724704,0.12346172345261973,0.08826180752058527,0.11185579370817297,0.12635672351903277,0.07645503485042408
