Fold,Method,Alpha,Budget,N_ESTIMATORS,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native American,race:Other,c_charge_degree:F,c_charge_degree:M,gender
1,Baseline,0.0,0.3,100,0.1972919068539417,0.10853563014091873,0.127983976596463,0.11554403125537754,0.15634141056339254,0.06399219398020468,0.030707326667096867,0.04282012292868022,0.02684739401427759,0.019540630886230106,0.019399773848959613,0.03087461305024457,0.019929059569225402,0.04019192964498713
1,Baseline (OAF),0.0,0.3,100,0.25399381581944613,0.14937912348465998,0.1566794514220747,0.17184079206863956,0.18966228372729418,0.0,0.0,0.0,0.0,0.0,0.0,0.058352137416670544,0.02009239606121486,0.0
1,RACT,0.02,0.3,100,0.19287507571350102,0.09526891032306894,0.09871123948578663,0.12797699751524397,0.17197020765132368,0.05790966019004042,0.03433453548327533,0.045534029888740724,0.033997704961572124,0.02006657805467988,0.026568842968737426,0.02896846575418559,0.022081539876335456,0.043736212133508506
1,RACT,0.04,0.3,100,0.18904654946031504,0.08301397777387769,0.10765233418424687,0.13847649255844177,0.1696548110182864,0.061782597113438455,0.039670311273495615,0.04399599270973321,0.03433729775929544,0.02295678202909705,0.019959836745518073,0.03433151913697375,0.021636544238907252,0.03348495399837345
1,RACT,0.06,0.3,100,0.19184067698014173,0.09704913960212623,0.10903827437346728,0.13227045505790042,0.18022346398167247,0.05845816972473992,0.03352783365965415,0.03999463132450621,0.033583748752224696,0.013223332769346707,0.022657014884336878,0.024995699990647765,0.024470841303667994,0.03866671759556757
1,RACT,0.08,0.3,100,0.18496447112870526,0.10601258442534901,0.126147459437249,0.12397274277574655,0.1620425846029398,0.06545951693625612,0.02886916157403265,0.04243032876438505,0.03582738234495189,0.018151526060417828,0.021710789875195226,0.03180449218783369,0.016771534687349838,0.03583542519958826
1,RACT,0.1,0.3,100,0.18383005765110724,0.11657623603805066,0.12577286387596773,0.1116903418349541,0.1695587909447567,0.06382816323339979,0.034245657427792044,0.04256892169870792,0.02938066150062459,0.01935551693529161,0.021184470614182948,0.02451166403177371,0.02491151177156299,0.032585142441827995
1,Baseline,0.0,0.3,400,0.18859016215911736,0.1073711032122935,0.11891623402571876,0.11762930186033274,0.16088346659473177,0.0652122574543565,0.029608489901231955,0.040604536498895547,0.03178750052004146,0.021259173569146774,0.025208262561111597,0.03188017766163508,0.024736100753876958,0.036313233227509845
1,Baseline (OAF),0.0,0.3,400,0.2550687587808946,0.158765565477596,0.15706879399721257,0.1615274514091229,0.17854223152995177,0.0,0.0,0.0,0.0,0.0,0.0,0.06753646412732645,0.02149073467789588,0.0
1,RACT,0.02,0.3,400,0.19048715530232124,0.09273234082026756,0.12000739628554452,0.118454587152351,0.16770452079247208,0.06271969595851608,0.0322163564763562,0.04559912738889657,0.029409025949754867,0.022120288987433352,0.023799783105712468,0.032685795687502274,0.02311833691174195,0.03894558918112973
1,RACT,0.04,0.3,400,0.18453178874916018,0.09737121755031729,0.11246584014943505,0.12490400257698943,0.1676778280239229,0.06127270214154839,0.03322263137598388,0.04977015183942135,0.03314940628788511,0.017935713086102197,0.022411001331329422,0.03201365596961823,0.023720589250520084,0.039553471667766245
1,RACT,0.06,0.3,400,0.18436306740184197,0.09944937745060228,0.11744582270930704,0.13177898161702095,0.1673671369014003,0.06322228962337852,0.032385378219609545,0.04496716631888243,0.029405144352408683,0.0177114866989521,0.029845992040068922,0.02921462395775419,0.020573159046632837,0.032270373662140216
1,RACT,0.08,0.3,400,0.18842170089990873,0.09978585257836868,0.1147804127177667,0.1265956634463491,0.16219836142500824,0.062001302757955686,0.03908774284822459,0.04943321094138031,0.030932132640915263,0.019645338982274173,0.022868641426011475,0.024852123996457667,0.02084195840904751,0.03855555693033183
1,RACT,0.1,0.3,400,0.18386055076852587,0.10558036416280504,0.11392187632410423,0.11869274171471673,0.17408347009372346,0.06604731872768992,0.032813448594721385,0.048704982887493066,0.02933285625564898,0.01705875168287917,0.022556909957706636,0.0287385807696536,0.02326569781304571,0.035342450247286106
2,Baseline,0.0,0.3,100,0.18521447538007987,0.12517725014269054,0.12599276243440646,0.12284586548714609,0.1550642598361978,0.06584727443499337,0.028685908332227273,0.040129701340292125,0.037026644337527385,0.01423132831312142,0.02419860650235185,0.022986731401237213,0.01793646399229292,0.034662728065435584
2,Baseline (OAF),0.0,0.3,100,0.233620764873815,0.14689036207544265,0.15560967449371574,0.17517153570071867,0.18474331222212886,0.0,0.0,0.0,0.0,0.0,0.0,0.08025331461390442,0.02371103602027462,0.0
2,RACT,0.02,0.3,100,0.18918169163435342,0.11522175658822029,0.0989242037174022,0.10390229620260205,0.16767745040095036,0.06535301723244703,0.040442975587411445,0.04364860195115277,0.036667350734638914,0.012427248593002418,0.03513964271447697,0.03132400513701436,0.02061652042329588,0.03947323908303196
2,RACT,0.04,0.3,100,0.19221360602978066,0.09588676822359542,0.10783873414926673,0.12282298846044538,0.1675742251652444,0.06244619252365118,0.032746028684763416,0.04668640564761879,0.03275021056936368,0.01960924710625773,0.0294755010330527,0.029509358434478328,0.02218490888102534,0.038255825091455996
2,RACT,0.06,0.3,100,0.1918407935275889,0.1011010685375847,0.1116272244886817,0.13232164778558927,0.15996343888794468,0.05988475776469408,0.03745327986474471,0.04024969883712909,0.030661296883330063,0.028844486315512632,0.02308639550851889,0.027683821026006004,0.017518291781959267,0.03776379879071583
