Fold,Method,Alpha,Budget,N_ESTIMATORS,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.3,100,0.7267206477732794,0.7836444532006763,0.7476635514018691,16.56131100654602,0.16037394327025523,0.3039568345323741,0.10071942446043165,0.5276207837766976,0.4939271255060729,2.6449704142011834,0.4592426172334383
1,Baseline (OAF),0.0,0.3,100,0.7176113360323887,0.7835664680096537,0.751115075825156,14.17419695854187,0.413541121965599,0.9917627677100495,0.34596375617792424,0.41697584889222367,0.5981781376518218,3.1212624584717608,0.4445146561386116
1,RACT,0.2,0.3,100,0.728744939271255,0.7872440854389335,0.7466918714555766,14.43027114868164,0.16579920821054095,0.43566176470588236,0.23345588235294118,0.38056864669423746,0.5779352226720648,3.282700421940928,0.4520227712132427
1,RACT,0.4,0.3,100,0.7176113360323887,0.7752795153425601,0.7330143540669857,19.110278367996216,0.26017485189689243,0.800376647834275,0.391713747645951,0.32506552084058793,0.6730769230769231,2.8847058823529412,0.44053594918046796
1,RACT,0.6,0.3,100,0.7176113360323887,0.7724433170795778,0.7272727272727272,20.345488786697388,0.2880338113461264,0.9744597249508841,0.46954813359528486,0.29558308462737565,0.7267206477732793,3.094758064516129,0.4393894849202676
1,RACT,0.8,0.3,100,0.7236842105263158,0.7690591702375675,0.7336585365853658,20.8280029296875,0.30512848262863257,0.9941291585127201,0.42857142857142855,0.30693042248667557,0.7044534412955465,2.97244094488189,0.43481250669478305
1,RACT,1.0,0.3,100,0.7105263157894737,0.769800029552283,0.719056974459725,20.585589170455933,0.28060603916773486,0.998015873015873,0.49007936507936506,0.2811639040567363,0.7398785425101215,3.05168986083499,0.43877410165502095
1,Baseline,0.0,0.3,400,0.7277327935222672,0.7872009883596841,0.7502321262766944,67.08457517623901,0.13034711906944776,0.2699822380106572,0.10124333925399645,0.4827988686585466,0.48785425101214575,2.375,0.4556156036869138
1,Baseline (OAF),0.0,0.3,400,0.7196356275303644,0.7853888587893414,0.7537777777777777,61.4914288520813,0.4037157034879328,0.9918166939443536,0.32896890343698854,0.4070466911404735,0.5850202429149798,3.315181518151815,0.4446226104380638
1,RACT,0.2,0.3,400,0.7206477732793523,0.7857787847444548,0.7381404174573055,61.0675687789917,0.1126540130096614,0.3648148148148148,0.21851851851851853,0.3087978021584627,0.5728744939271255,2.1573604060913705,0.4511668857674101
1,RACT,0.4,0.3,400,0.72165991902834,0.7753410825986309,0.736842105263158,74.0408399105072,0.22939277125454485,0.7721280602636534,0.4256120527306968,0.29709161350283736,0.6912955465587045,2.8390243902439023,0.4402497425659362
1,RACT,0.6,0.3,400,0.7165991902834008,0.7729830566911295,0.7286821705426356,82.73720216751099,0.28883299590037087,0.9536679536679536,0.44787644787644787,0.30286536817083426,0.7105263157894737,3.0303643724696356,0.4368886207399522
1,RACT,0.8,0.3,400,0.7176113360323887,0.7726526457502176,0.7262021589793916,76.84962511062622,0.2979512417385889,0.9821782178217822,0.47128712871287126,0.3033576150765875,0.7297570850202428,2.993951612903226,0.4376822514025814
1,RACT,1.0,0.3,400,0.7206477732793523,0.7723140258418296,0.7261904761904763,78.16673493385315,0.2957385713830739,0.9878542510121457,0.4433198380566802,0.2993747013590954,0.7216599190283401,3.1434426229508197,0.4376726954950754
2,Baseline,0.0,0.3,100,0.7203647416413373,0.7807664464754321,0.7557522123893806,15.645432233810425,0.20133644861745617,0.3198051948051948,0.0762987012987013,0.6295596565906244,0.4235055724417427,2.197969543147208,0.45269206536015794
2,Baseline (OAF),0.0,0.3,100,0.7041540020263425,0.7695724780151528,0.7460869565217391,13.000023126602173,0.40244298720805366,0.9937106918238994,0.300314465408805,0.4049900947220287,0.5491388044579534,3.125,0.44325959572656903
2,RACT,0.2,0.3,100,0.7193515704154002,0.781860547379505,0.7456382001836547,14.151151895523071,0.12800768601709844,0.36869565217391304,0.16,0.3471906578293943,0.5106382978723405,2.580188679245283,0.44452322247813675
2,RACT,0.4,0.3,100,0.7163120567375887,0.7709401041452439,0.7392923649906891,19.813957691192627,0.2786785925942196,0.8375,0.35892857142857143,0.33275055832145634,0.6362715298885512,2.8912579957356077,0.43644924088324505
2,RACT,0.6,0.3,100,0.7112462006079028,0.7683364730464541,0.7313854853911405,22.272196054458618,0.31233255366248835,0.9725776965265083,0.3912248628884826,0.3211389226567314,0.662613981762918,2.986842105263158,0.4323022359617129
2,RACT,0.8,0.3,100,0.7051671732522796,0.7692331422084386,0.7257304429783223,22.118694067001343,0.296064179248406,0.9926873857404022,0.48080438756855576,0.29824513084507936,0.7122593718338399,2.865561694290976,0.432474891572313
2,RACT,1.0,0.3,100,0.7122593718338399,0.7655148443991081,0.7290076335877863,19.87181305885315,0.2737049292667233,0.9925093632958801,0.5299625468164794,0.27577062684609477,0.745694022289767,2.918867924528302,0.4339286728124643
2,Baseline,0.0,0.3,400,0.7203647416413373,0.7844970837686429,0.7548845470692718,68.1747510433197,0.1826641662787732,0.3055555555555556,0.06372549019607843,0.5978099987305304,0.4194528875379939,2.3529411764705883,0.45220992801586946
2,Baseline (OAF),0.0,0.3,400,0.7082066869300911,0.7674377473038227,0.7482517482517484,59.76581597328186,0.40607393287818777,0.9793650793650793,0.2920634920634921,0.414629785596853,0.5481256332320161,3.027552674230146,0.43941436925151034
2,RACT,0.2,0.3,400,0.7183383991894631,0.7833556815096947,0.7430683918669131,62.805861949920654,0.11465554402489918,0.3538732394366197,0.1619718309859155,0.3240017363489688,0.5177304964539007,2.7064676616915424,0.44458406943635226
