Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse
1,Baseline,0.0,0.3,0.6904376012965965,0.7275567700389765,0.6319845857418112,6.370913505554199,0.2553519884169049,1.0,0.64,0.2553519884169049,0.9708265802269044
1,Baseline (OAF),0.0,0.3,0.6936790923824959,0.7341075665141501,0.6358381502890174,1.7306602001190186,0.23977314165803193,1.0,0.7,0.23977314165803193,0.9756888168557536
1,RACT,0.06,0.3,0.6774716369529984,0.7257932977461448,0.5913757700205339,2.1215455532073975,0.14900745354779737,1.0,0.9,0.14900745354779737,0.9918962722852512
2,Baseline,0.0,0.3,0.6807131280388979,0.7383653194373835,0.6159844054580896,2.204700469970703,0.2578778240048131,1.0,0.72,0.2578778240048131,0.9773095623987034
2,Baseline (OAF),0.0,0.3,0.6839546191247974,0.7309142518217252,0.6408839779005525,1.7663044929504395,0.23649233669989786,1.0,0.74,0.23649233669989786,0.9789303079416531
2,RACT,0.06,0.3,0.6742301458670988,0.7373379511947127,0.5639913232104121,2.1278722286224365,0.18496286128330686,1.0,0.82,0.18496286128330686,0.9854132901134521
3,Baseline,0.0,0.3,0.6450567260940032,0.6927904168784952,0.5796545105566219,2.1550204753875732,0.267733453148713,1.0,0.6,0.267733453148713,0.9675850891410048
3,Baseline (OAF),0.0,0.3,0.6612641815235009,0.6863137603795967,0.6122448979591837,1.666320562362671,0.2016149696746542,1.0,0.8,0.2016149696746542,0.9837925445705025
3,RACT,0.06,0.3,0.6547811993517018,0.6920437214031521,0.5815324165029471,2.008274793624878,0.16494184759116173,1.0,0.86,0.16494184759116173,0.9886547811993517
4,Baseline,0.0,0.3,0.6677471636952999,0.7273131672597866,0.5956607495069035,2.0870354175567627,0.19221845657437656,1.0,0.82,0.19221845657437656,0.9854132901134521
4,Baseline (OAF),0.0,0.3,0.6661264181523501,0.7219750889679715,0.6053639846743294,1.6518089771270752,0.1976851067978069,1.0,0.88,0.1976851067978069,0.9902755267423015
4,RACT,0.06,0.3,0.6774716369529984,0.7282240298254533,0.5828092243186583,2.0500781536102295,0.0925359693665396,1.0,1.0,0.0925359693665396,1.0
5,Baseline,0.0,0.3,0.6515397082658023,0.710827613963735,0.5725646123260437,2.162140130996704,0.1891438062473182,1.0,0.86,0.1891438062473182,0.9886547811993517
5,Baseline (OAF),0.0,0.3,0.6320907617504052,0.6962644043382478,0.5609284332688588,1.6864643096923828,0.18248571491997992,1.0,0.82,0.18248571491997992,0.9854132901134521
5,RACT,0.06,0.3,0.6450567260940032,0.7036625148279954,0.5484536082474226,2.0337414741516113,0.08743373006535393,1.0,1.0,0.08743373006535393,1.0
6,Baseline,0.0,0.3,0.6612641815235009,0.6999396288764617,0.5811623246492985,2.119481086730957,0.22131159553887814,1.0,0.78,0.22131159553887814,0.9821717990275527
6,Baseline (OAF),0.0,0.3,0.6288492706645057,0.6953376546348076,0.57196261682243,1.6637465953826904,0.21319778884736496,1.0,0.8,0.21319778884736496,0.9837925445705025
6,RACT,0.06,0.3,0.6499189627228525,0.6997966446365023,0.5324675324675324,1.9450619220733643,0.09732636965854013,1.0,1.0,0.09732636965854013,1.0
7,Baseline,0.0,0.3,0.6823338735818476,0.7289654295882053,0.608,2.0913960933685303,0.21566816101636563,1.0,0.72,0.21566816101636563,0.9773095623987034
7,Baseline (OAF),0.0,0.3,0.6807131280388979,0.7218532875783765,0.6247619047619047,1.66041898727417,0.20524120658766773,1.0,0.76,0.20524120658766773,0.9805510534846029
7,RACT,0.06,0.3,0.6677471636952999,0.7179132774106083,0.5553145336225597,1.9031670093536377,0.14048749408121344,1.0,0.86,0.14048749408121344,0.9886547811993517
8,Baseline,0.0,0.3,0.7077922077922078,0.7526679421768707,0.6538461538461539,2.1635184288024902,0.2454675202511782,1.0,0.74,0.2454675202511782,0.9788961038961039
8,Baseline (OAF),0.0,0.3,0.7142857142857143,0.7598320578231292,0.6834532374100719,1.7492661476135254,0.2131573555880388,1.0,0.78,0.2131573555880388,0.9821428571428571
8,RACT,0.06,0.3,0.7094155844155844,0.759720450680272,0.6215644820295984,1.9483458995819092,0.10692225610589734,1.0,0.96,0.10692225610589734,0.9967532467532467
9,Baseline,0.0,0.3,0.7077922077922078,0.7387262973389283,0.6484375,2.202766180038452,0.19249478707670864,1.0,0.8,0.19249478707670864,0.9837662337662337
9,Baseline (OAF),0.0,0.3,0.6866883116883117,0.7438412917618313,0.6392523364485982,1.8180322647094727,0.21820227600754863,1.0,0.72,0.21820227600754863,0.9772727272727273
9,RACT,0.06,0.3,0.689935064935065,0.734169012588304,0.6187624750499002,2.0857999324798584,0.11325005545259974,1.0,0.98,0.11325005545259974,0.9983766233766234
10,Baseline,0.0,0.3,0.6704545454545454,0.731805385881978,0.593186372745491,2.0224499702453613,0.22296470346997974,1.0,0.8,0.22296470346997974,0.9837662337662337
10,Baseline (OAF),0.0,0.3,0.6672077922077922,0.7274286928347586,0.5988258317025441,1.6560380458831787,0.16697833080215055,1.0,0.9,0.16697833080215055,0.9918831168831169
10,RACT,0.06,0.3,0.6444805194805194,0.7158283316513518,0.5249457700650759,1.9100124835968018,0.1039647518924978,1.0,1.0,0.1039647518924978,1.0
