Fold,Method,Alpha,Budget,White,Alchy,Junky,Super,Married,Felon,Workrel,Propty,Person,Male,Priors,School,Rule,Age,Tservd,Follow
1,Baseline,0.0,0.1,0.06569038259689573,0.0657843309216022,0.05207074414959126,0.049501359881899736,0.040641942979393754,0.040322854619948174,0.03251739432557552,0.033538455384878346,0.023059325221401354,0.018987717654158666,0.08124888577397185,0.10691586326368659,0.08172990382846487,0.10857408582829543,0.12555389468577416,0.07386285888446241
1,Baseline (OAF),0.0,0.1,0.0,0.16733571062203056,0.13667978368641207,0.0,0.0,0.0,0.11670986028568854,0.0,0.0,0.0,0.0,0.29707364476086007,0.28220100064500875,0.0,0.0,0.0
1,RACT,0.02,0.1,0.06552324485803902,0.05468046258606136,0.050165748818848895,0.04592700979876453,0.03706432841102997,0.04027793516227102,0.03120013295637742,0.034723908078686465,0.022535733341867377,0.019367962551535074,0.07777329423110013,0.11348726878326287,0.08525048748297283,0.10957851186042733,0.1307278593416569,0.0817161117370988
1,RACT,0.04,0.1,0.06021734998691293,0.056808937824698556,0.049304059838940165,0.04704143824741615,0.03669042618311113,0.03730605776217276,0.03050912036803896,0.03367767670880729,0.022976758045278416,0.018631154340086737,0.07653242405318389,0.11634430450250845,0.08815637211472026,0.11123602630268271,0.12995922444900063,0.08460866927244083
1,RACT,0.06,0.1,0.05944239590117032,0.05679977565613355,0.049075972630881856,0.046437737672078594,0.03670846168483433,0.039569832601504706,0.031160746127827307,0.03352145215645183,0.020963371345406993,0.01820492602424995,0.07674229779866676,0.11901956199308708,0.09308666076671297,0.10940372699777029,0.1285910222668639,0.08127205837635945
1,RACT,0.08,0.1,0.05682394674065841,0.056084886355965015,0.049141835559000584,0.04553585082607745,0.03554174275306887,0.04161715964147728,0.03155194766624394,0.032941007065605134,0.021113843923279193,0.018744708475225073,0.0758583760329475,0.11761766236991628,0.09167416294443616,0.11383014457765381,0.1312490257630717,0.08067369930537366
1,RACT,0.1,0.1,0.059556098241401886,0.054920431057782354,0.0467576604130801,0.0452024067366648,0.03853327930680443,0.03951123297938363,0.034056835143438276,0.032710139722742476,0.02291866908125585,0.02019407519864709,0.07441633354371828,0.11999496494834545,0.09264669183965588,0.11092325251533065,0.1279575702108675,0.07970035906088135
1,Baseline,0.0,0.2,0.06299964455291762,0.05980770285612379,0.05226819069030783,0.05174453075628545,0.0387273644931702,0.03983150079519898,0.03356481296187456,0.03418357814009788,0.022901522124772672,0.01859145779266593,0.08255272330581206,0.10695465182656486,0.0796506874247181,0.11001478898124463,0.12866653458267413,0.07754030871557126
1,Baseline (OAF),0.0,0.2,0.0,0.16648659742075422,0.13461033375103432,0.0,0.0,0.0,0.12179396889733594,0.0,0.0,0.0,0.0,0.30082904243057434,0.2762800575003012,0.0,0.0,0.0
1,RACT,0.02,0.2,0.05886114582076938,0.052743262656231193,0.048463180724451084,0.04786691361450703,0.03699485858827985,0.03717689594636604,0.029138591457231983,0.03284750773451656,0.021056531614424934,0.01988283255395113,0.07774813747102692,0.1261096544711019,0.0885150685969013,0.11091052928223823,0.12804727492294785,0.08363761454505465
1,RACT,0.04,0.2,0.06256573447744192,0.05688062296982085,0.04774483039876939,0.04873347413662467,0.034710096950205646,0.039187286576467736,0.0313414447620619,0.0324114234901147,0.021130395072019647,0.018725887940476284,0.07677562404240612,0.12207700838505176,0.08801631999643272,0.11082583973049434,0.12763545853536698,0.08123855253624535
1,RACT,0.06,0.2,0.06141190544693602,0.059230008584790814,0.0492599047029158,0.04726084423350339,0.03593306651267168,0.03893936886082964,0.028107576726618174,0.03280395952431152,0.020423056186300338,0.019871267216596423,0.07518956873807953,0.12669636931667877,0.08851513795835565,0.10951903681282607,0.1257814369134519,0.0810574922651344
1,RACT,0.08,0.2,0.05811800053556892,0.054490443758685336,0.05130286106025962,0.05047597464022662,0.03727159216706112,0.03897450284451709,0.03252733444383403,0.031407281643341875,0.02022111468344513,0.017792003583133313,0.07634395844640574,0.12580673816690685,0.08829576130844802,0.11088953227088706,0.12653057056668135,0.07955232988059789
1,RACT,0.1,0.2,0.05934566767585185,0.05413419246490788,0.0469062166218677,0.04776841309258025,0.03830707927707993,0.03686980611126747,0.03208894416675371,0.03149099888668936,0.02098976437298695,0.020221218101087925,0.07635713566547737,0.1287835420770446,0.08754351104176986,0.11343425405124521,0.12487364686740204,0.0808856095259879
1,Baseline,0.0,0.4,0.06730284369104936,0.05763460409492052,0.05436217809921008,0.0530647946567611,0.04124583859387478,0.04203070168366993,0.033602768445647364,0.033869519048253624,0.022042878332979802,0.0191237804001317,0.08098707470567332,0.10379284658639888,0.0773583138531548,0.10917098192313993,0.12659029883577858,0.07782057704935627
1,Baseline (OAF),0.0,0.4,0.0,0.15695515330285625,0.14660772692905022,0.0,0.0,0.0,0.12090198430559558,0.0,0.0,0.0,0.0,0.3041856768575661,0.27134945860493176,0.0,0.0,0.0
1,RACT,0.02,0.4,0.06107863081756015,0.05689043510706157,0.05144438116800998,0.04828056608505281,0.03612771403298841,0.03778932497847841,0.029567908235061204,0.03160027035052286,0.023132688472976583,0.017571003899949908,0.07702886610793049,0.12741941779902485,0.08819627043040171,0.10933856434578176,0.12375272757401104,0.0807812305951883
1,RACT,0.04,0.4,0.05764024049834112,0.058442725701589086,0.05046873893456179,0.04540667416985227,0.03649722718361567,0.038631260611768393,0.03196584122943408,0.030270681425312963,0.021378682360757302,0.01750322902885679,0.07721544586478937,0.12577681328789855,0.09003134897885433,0.11138281673559136,0.12945318197095695,0.07793509201781998
