Fold,Method,Alpha,Budget,Accuracy,AUC,F1,Time [s],Cost,Validity,Budget-Validity,Valid-Cost,Recourse,Sparsity,Plausibility
1,Baseline,0.0,0.1,0.7956666666666666,0.6456220859465259,0.3673890608875129,372.85483288764954,0.3357932113384141,0.9967213114754099,0.12131147540983607,0.33689779427044836,0.9106666666666666,1.430921052631579,0.5243043707838364
1,Baseline (OAF),0.0,0.1,0.7786666666666666,0.5578259098035979,0.0,364.11247992515564,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.2,0.1,0.7936666666666666,0.6310998488818287,0.2053915275994865,373.0197250843048,0.1699305201304898,1.0,0.40869565217391307,0.1699305201304898,0.9773333333333334,1.4521739130434783,0.5246671487000697
1,RACT,0.4,0.1,0.7876666666666666,0.5944446665084997,0.09900990099009901,378.5761227607727,0.0343742272753831,1.0,1.0,0.0343742272753831,1.0,1.1627906976744187,0.5055206467941002
1,RACT,0.6,0.1,0.7786666666666666,0.5694934059869616,0.0,358.6865360736847,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.8,0.1,0.7786666666666666,0.5516577224995873,0.0,347.327152967453,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,1.0,0.1,0.7786666666666666,0.5486579236466413,0.0,321.25909185409546,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,Baseline,0.0,0.2,0.796,0.650355166384717,0.3625,305.0588188171387,0.2934376093217721,1.0,0.3614864864864865,0.2934376093217721,0.937,1.527027027027027,0.533256888395464
1,Baseline (OAF),0.0,0.2,0.7786666666666666,0.5570764436169334,0.0,329.9272928237915,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.2,0.2,0.7963333333333333,0.6289968306444959,0.2256020278833967,312.98646998405457,0.12375614686543375,1.0,0.832,0.12375614686543375,0.993,1.4,0.5208692026810448
1,RACT,0.4,0.2,0.789,0.5985288542870111,0.11961057023643949,316.5854480266571,0.0804046604223763,1.0,0.9454545454545454,0.0804046604223763,0.999,1.2363636363636363,0.5218362232519084
1,RACT,0.6,0.2,0.779,0.5750855519681467,0.0030075187969924814,328.9666359424591,0.004467585537619001,1.0,1.0,0.004467585537619001,1.0,1.0,0.5404073403992767
1,RACT,0.8,0.2,0.7786666666666666,0.5534761047615119,0.0,328.7302289009094,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,1.0,0.2,0.7786666666666666,0.5624223133974253,0.0,316.6837260723114,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,Baseline,0.0,0.4,0.7943333333333333,0.6460527469466908,0.3606217616580311,322.5987329483032,0.3024483725613394,1.0,0.7043189368770764,0.3024483725613394,0.9703333333333334,1.611295681063123,0.5311154380344822
1,Baseline (OAF),0.0,0.4,0.7786666666666666,0.560326709234197,0.0,343.75846886634827,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.2,0.4,0.7926666666666666,0.6282312469054299,0.19638242894056848,325.68514680862427,0.17107910556457032,1.0,0.9727272727272728,0.17107910556457032,0.999,1.518181818181818,0.5261274682885994
1,RACT,0.4,0.4,0.79,0.6122207150519888,0.12742382271468145,310.869668006897,0.12323661864821255,1.0,0.9827586206896551,0.12323661864821255,0.9996666666666667,1.1379310344827587,0.525144770415584
1,RACT,0.6,0.4,0.7786666666666666,0.6043427777892393,0.0,297.62054681777954,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.8,0.4,0.7786666666666666,0.6357471839412444,0.0,340.2192552089691,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,1.0,0.4,0.7786666666666666,0.6288791725119657,0.0,299.08284997940063,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,Baseline,0.0,0.5,0.796,0.6461075466248557,0.3516949152542373,319.7543339729309,0.3075360233743565,1.0,0.7964285714285714,0.3075360233743565,0.981,1.3464285714285715,0.5241628869998838
1,Baseline (OAF),0.0,0.5,0.7786666666666666,0.5546327003218353,0.0,326.77928376197815,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,0.2,0.5,0.7953333333333333,0.6412626103729988,0.2457002457002457,335.38427805900574,0.22521651925235237,1.0,0.9333333333333333,0.22521651925235237,0.9966666666666667,1.5266666666666666,0.5280658737097003
1,RACT,0.4,0.5,0.79,0.6322045459234197,0.1346153846153846,321.68795013427734,0.13376922494095123,1.0,1.0,0.13376922494095123,1.0,1.265625,0.5264140422482213
1,RACT,0.6,0.5,0.779,0.6336506127248721,0.0030075187969924814,314.94710206985474,0.002801312326644184,1.0,1.0,0.002801312326644184,1.0,1.0,0.5404073403992767
1,RACT,0.8,0.5,0.7786666666666666,0.6363854390163394,0.0,335.8178369998932,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,RACT,1.0,0.5,0.7786666666666666,0.6476773962287506,0.0,321.77245116233826,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,Baseline,0.0,0.1,0.7996666666666666,0.6472928314284535,0.3797729618163055,295.14740204811096,0.3390933558683694,0.9967213114754099,0.10819672131147541,0.34020879453898906,0.9093333333333333,1.368421052631579,0.5284312381151384
2,Baseline (OAF),0.0,0.1,0.7786666666666666,0.5668014523848819,0.0,322.43413496017456,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2,RACT,0.2,0.1,0.795,0.6440722221076085,0.20233463035019456,326.18853878974915,0.21019337173972658,1.0,0.27102803738317754,0.21019337173972658,0.974,1.5046728971962617,0.5191481778652707
