Fold,Method,Alpha,Budget,Delta,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native American,race:Other,c_charge_degree:F,c_charge_degree:M,gender
1,Baseline,0.0,0.1,1.0,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,Baseline (OAF),0.0,0.1,1.0,0.45454545454545453,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
1,RACT,0.0,0.1,0.2,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.0,0.1,0.25,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.0,0.1,0.3,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.0,0.1,0.35,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.0,0.1,0.4,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705
1,RACT,0.025,0.1,0.2,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.025,0.1,0.25,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.025,0.1,0.3,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.025,0.1,0.35,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.025,0.1,0.4,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.05,0.1,0.2,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.05,0.1,0.25,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.05,0.1,0.3,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.05,0.1,0.35,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.05,0.1,0.4,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.047619047619047616
1,RACT,0.075,0.1,0.2,0.36,0.12,0.08,0.12,0.16,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04
1,RACT,0.075,0.1,0.25,0.36,0.12,0.08,0.12,0.16,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04
1,RACT,0.075,0.1,0.3,0.36,0.12,0.08,0.12,0.16,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04
1,RACT,0.075,0.1,0.35,0.36,0.12,0.08,0.12,0.16,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04
1,RACT,0.075,0.1,0.4,0.36,0.12,0.08,0.12,0.16,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04
1,RACT,0.1,0.1,0.2,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616
1,RACT,0.1,0.1,0.25,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616
1,RACT,0.1,0.1,0.3,0.3333333333333333,0.14285714285714285,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616
