Fold,Method,Alpha,Budget,Delta,Married,Single,Age_lt_25,Age_in_25_to_40,Age_in_40_to_59,Age_geq_60,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue
1,Baseline,0.0,0.1,1.0,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,Baseline (OAF),0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
1,RACT,0.0,0.1,0.2,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.0,0.1,0.25,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.0,0.1,0.3,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.0,0.1,0.35,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.0,0.1,0.4,0.11475409836065574,0.0,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.06557377049180328,0.14754098360655737,0.19672131147540983,0.06557377049180328,0.04918032786885246,0.01639344262295082,0.09836065573770492,0.08196721311475409,0.01639344262295082,0.04918032786885246
1,RACT,0.025,0.1,0.2,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,0.2702702702702703,0.16216216216216217,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.08108108108108109,0.0,0.08108108108108109
1,RACT,0.025,0.1,0.25,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,0.2702702702702703,0.16216216216216217,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.08108108108108109,0.0,0.08108108108108109
1,RACT,0.025,0.1,0.3,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,0.2702702702702703,0.16216216216216217,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.08108108108108109,0.0,0.08108108108108109
1,RACT,0.025,0.1,0.35,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,0.2702702702702703,0.16216216216216217,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.08108108108108109,0.0,0.08108108108108109
1,RACT,0.025,0.1,0.4,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,0.2702702702702703,0.16216216216216217,0.08108108108108109,0.05405405405405406,0.02702702702702703,0.08108108108108109,0.08108108108108109,0.0,0.08108108108108109
1,RACT,0.05,0.1,0.2,0.1111111111111111,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.0,0.08333333333333333
1,RACT,0.05,0.1,0.25,0.1111111111111111,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.0,0.08333333333333333
1,RACT,0.05,0.1,0.3,0.1111111111111111,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.0,0.08333333333333333
1,RACT,0.05,0.1,0.35,0.1111111111111111,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.0,0.08333333333333333
1,RACT,0.05,0.1,0.4,0.1111111111111111,0.0,0.08333333333333333,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.027777777777777776,0.0,0.05555555555555555,0.027777777777777776,0.0,0.08333333333333333
1,RACT,0.075,0.1,0.2,0.06349206349206349,0.0,0.015873015873015872,0.015873015873015872,0.0,0.0,0.047619047619047616,0.19047619047619047,0.2222222222222222,0.047619047619047616,0.031746031746031744,0.047619047619047616,0.12698412698412698,0.12698412698412698,0.015873015873015872,0.047619047619047616
